first_family_id	second_family_id	configurations
M01_R	M02_H	384
M01_R	M03_R_H	3072
M01_R	M04_D	384
M01_R	M05_R_D	3072
M01_R	M06_H_D	384
M01_R	M07_R_H_D	3072
M01_R	M08_RG	768
M01_R	M09_R_RG	768
M01_R	M10_H_RG	384
M01_R	M11_R_H_RG	384
M01_R	M12_D_RG	384
M01_R	M13_R_D_RG	384
M01_R	M14_H_D_RG	384
M01_R	M15_R_H_D_RG	384
M01_R	M16_WG	768
M01_R	M17_R_WG	768
M01_R	M18_H_WG	384
M01_R	M19_R_H_WG	384
M01_R	M20_D_WG	384
M01_R	M21_R_D_WG	384
M01_R	M22_H_D_WG	384
M01_R	M23_R_H_D_WG	384
M01_R	M24_RG_WG	768
M01_R	M25_R_RG_WG	768
M01_R	M26_H_RG_WG	384
M01_R	M27_R_H_RG_WG	384
M01_R	M28_D_RG_WG	384
M01_R	M29_R_D_RG_WG	384
M01_R	M30_H_D_RG_WG	384
M01_R	M31_R_H_D_RG_WG	384
M02_H	M03_R_H	768
M02_H	M04_D	3072
M02_H	M05_R_D	384
M02_H	M06_H_D	3072
M02_H	M07_R_H_D	384
M02_H	M08_RG	384
M02_H	M09_R_RG	384
M02_H	M10_H_RG	768
M02_H	M11_R_H_RG	768
M02_H	M12_D_RG	384
M02_H	M13_R_D_RG	384
M02_H	M14_H_D_RG	384
M02_H	M15_R_H_D_RG	384
M02_H	M16_WG	384
M02_H	M17_R_WG	384
M02_H	M18_H_WG	768
M02_H	M19_R_H_WG	768
M02_H	M20_D_WG	384
M02_H	M21_R_D_WG	384
M02_H	M22_H_D_WG	384
M02_H	M23_R_H_D_WG	384
M02_H	M24_RG_WG	384
M02_H	M25_R_RG_WG	384
M02_H	M26_H_RG_WG	768
M02_H	M27_R_H_RG_WG	768
M02_H	M28_D_RG_WG	384
M02_H	M29_R_D_RG_WG	384
M02_H	M30_H_D_RG_WG	384
M02_H	M31_R_H_D_RG_WG	384
M03_R_H	M04_D	384
M03_R_H	M05_R_D	5753
M03_R_H	M06_H_D	3067
M03_R_H	M07_R_H_D	5760
M03_R_H	M08_RG	3072
M03_R_H	M09_R_RG	3072
M03_R_H	M10_H_RG	3456
M03_R_H	M11_R_H_RG	3456
M03_R_H	M12_D_RG	3072
M03_R_H	M13_R_D_RG	3072
M03_R_H	M14_H_D_RG	3072
M03_R_H	M15_R_H_D_RG	3072
M03_R_H	M16_WG	3072
M03_R_H	M17_R_WG	3072
M03_R_H	M18_H_WG	3456
M03_R_H	M19_R_H_WG	3456
M03_R_H	M20_D_WG	3072
M03_R_H	M21_R_D_WG	3072
M03_R_H	M22_H_D_WG	3072
M03_R_H	M23_R_H_D_WG	3072
M03_R_H	M24_RG_WG	3072
M03_R_H	M25_R_RG_WG	3072
M03_R_H	M26_H_RG_WG	3456
M03_R_H	M27_R_H_RG_WG	3456
M03_R_H	M28_D_RG_WG	3072
M03_R_H	M29_R_D_RG_WG	3072
M03_R_H	M30_H_D_RG_WG	3072
M03_R_H	M31_R_H_D_RG_WG	3072
M04_D	M05_R_D	768
M04_D	M06_H_D	3072
M04_D	M07_R_H_D	384
M04_D	M08_RG	384
M04_D	M09_R_RG	384
M04_D	M10_H_RG	384
M04_D	M11_R_H_RG	384
M04_D	M12_D_RG	768
M04_D	M13_R_D_RG	768
M04_D	M14_H_D_RG	384
M04_D	M15_R_H_D_RG	384
M04_D	M16_WG	384
M04_D	M17_R_WG	384
M04_D	M18_H_WG	384
M04_D	M19_R_H_WG	384
M04_D	M20_D_WG	768
M04_D	M21_R_D_WG	768
M04_D	M22_H_D_WG	384
M04_D	M23_R_H_D_WG	384
M04_D	M24_RG_WG	384
M04_D	M25_R_RG_WG	384
M04_D	M26_H_RG_WG	384
M04_D	M27_R_H_RG_WG	384
M04_D	M28_D_RG_WG	768
M04_D	M29_R_D_RG_WG	768
M04_D	M30_H_D_RG_WG	384
M04_D	M31_R_H_D_RG_WG	384
M05_R_D	M06_H_D	3060
M05_R_D	M07_R_H_D	5753
M05_R_D	M08_RG	3065
M05_R_D	M09_R_RG	3065
M05_R_D	M10_H_RG	3065
M05_R_D	M11_R_H_RG	3065
M05_R_D	M12_D_RG	3449
M05_R_D	M13_R_D_RG	3449
M05_R_D	M14_H_D_RG	3065
M05_R_D	M15_R_H_D_RG	3065
M05_R_D	M16_WG	3065
M05_R_D	M17_R_WG	3065
M05_R_D	M18_H_WG	3065
M05_R_D	M19_R_H_WG	3065
M05_R_D	M20_D_WG	3449
M05_R_D	M21_R_D_WG	3449
M05_R_D	M22_H_D_WG	3065
M05_R_D	M23_R_H_D_WG	3065
M05_R_D	M24_RG_WG	3065
M05_R_D	M25_R_RG_WG	3065
M05_R_D	M26_H_RG_WG	3065
M05_R_D	M27_R_H_RG_WG	3065
M05_R_D	M28_D_RG_WG	3449
M05_R_D	M29_R_D_RG_WG	3449
M05_R_D	M30_H_D_RG_WG	3065
M05_R_D	M31_R_H_D_RG_WG	3065
M06_H_D	M07_R_H_D	3451
M06_H_D	M08_RG	3067
M06_H_D	M09_R_RG	3067
M06_H_D	M10_H_RG	3067
M06_H_D	M11_R_H_RG	3067
M06_H_D	M12_D_RG	3067
M06_H_D	M13_R_D_RG	3067
M06_H_D	M14_H_D_RG	3451
M06_H_D	M15_R_H_D_RG	3451
M06_H_D	M16_WG	3067
M06_H_D	M17_R_WG	3067
M06_H_D	M18_H_WG	3067
M06_H_D	M19_R_H_WG	3067
M06_H_D	M20_D_WG	3067
M06_H_D	M21_R_D_WG	3067
M06_H_D	M22_H_D_WG	3451
M06_H_D	M23_R_H_D_WG	3451
M06_H_D	M24_RG_WG	3067
M06_H_D	M25_R_RG_WG	3067
M06_H_D	M26_H_RG_WG	3067
M06_H_D	M27_R_H_RG_WG	3067
M06_H_D	M28_D_RG_WG	3067
M06_H_D	M29_R_D_RG_WG	3067
M06_H_D	M30_H_D_RG_WG	3451
M06_H_D	M31_R_H_D_RG_WG	3451
M07_R_H_D	M08_RG	3072
M07_R_H_D	M09_R_RG	3072
M07_R_H_D	M10_H_RG	3072
M07_R_H_D	M11_R_H_RG	3072
M07_R_H_D	M12_D_RG	3072
M07_R_H_D	M13_R_D_RG	3072
M07_R_H_D	M14_H_D_RG	3456
M07_R_H_D	M15_R_H_D_RG	3456
M07_R_H_D	M16_WG	3072
M07_R_H_D	M17_R_WG	3072
M07_R_H_D	M18_H_WG	3072
M07_R_H_D	M19_R_H_WG	3072
M07_R_H_D	M20_D_WG	3072
M07_R_H_D	M21_R_D_WG	3072
M07_R_H_D	M22_H_D_WG	3456
M07_R_H_D	M23_R_H_D_WG	3456
M07_R_H_D	M24_RG_WG	3072
M07_R_H_D	M25_R_RG_WG	3072
M07_R_H_D	M26_H_RG_WG	3072
M07_R_H_D	M27_R_H_RG_WG	3072
M07_R_H_D	M28_D_RG_WG	3072
M07_R_H_D	M29_R_D_RG_WG	3072
M07_R_H_D	M30_H_D_RG_WG	3456
M07_R_H_D	M31_R_H_D_RG_WG	3456
M08_RG	M09_R_RG	6144
M08_RG	M10_H_RG	5760
M08_RG	M11_R_H_RG	5760
M08_RG	M12_D_RG	5760
M08_RG	M13_R_D_RG	5760
M08_RG	M14_H_D_RG	5760
M08_RG	M15_R_H_D_RG	5760
M08_RG	M16_WG	6144
M08_RG	M17_R_WG	6144
M08_RG	M18_H_WG	5760
M08_RG	M19_R_H_WG	5760
M08_RG	M20_D_WG	5760
M08_RG	M21_R_D_WG	5760
M08_RG	M22_H_D_WG	5760
M08_RG	M23_R_H_D_WG	5760
M08_RG	M24_RG_WG	6144
M08_RG	M25_R_RG_WG	6144
M08_RG	M26_H_RG_WG	5760
M08_RG	M27_R_H_RG_WG	5760
M08_RG	M28_D_RG_WG	5760
M08_RG	M29_R_D_RG_WG	5760
M08_RG	M30_H_D_RG_WG	5760
M08_RG	M31_R_H_D_RG_WG	5760
M09_R_RG	M10_H_RG	5760
M09_R_RG	M11_R_H_RG	5760
M09_R_RG	M12_D_RG	5760
M09_R_RG	M13_R_D_RG	5760
M09_R_RG	M14_H_D_RG	5760
M09_R_RG	M15_R_H_D_RG	5760
M09_R_RG	M16_WG	6144
M09_R_RG	M17_R_WG	6144
M09_R_RG	M18_H_WG	5760
M09_R_RG	M19_R_H_WG	5760
M09_R_RG	M20_D_WG	5760
M09_R_RG	M21_R_D_WG	5760
M09_R_RG	M22_H_D_WG	5760
M09_R_RG	M23_R_H_D_WG	5760
M09_R_RG	M24_RG_WG	6144
M09_R_RG	M25_R_RG_WG	6144
M09_R_RG	M26_H_RG_WG	5760
M09_R_RG	M27_R_H_RG_WG	5760
M09_R_RG	M28_D_RG_WG	5760
M09_R_RG	M29_R_D_RG_WG	5760
M09_R_RG	M30_H_D_RG_WG	5760
M09_R_RG	M31_R_H_D_RG_WG	5760
M10_H_RG	M11_R_H_RG	6144
M10_H_RG	M12_D_RG	5760
M10_H_RG	M13_R_D_RG	5760
M10_H_RG	M14_H_D_RG	5760
M10_H_RG	M15_R_H_D_RG	5760
M10_H_RG	M16_WG	5760
M10_H_RG	M17_R_WG	5760
M10_H_RG	M18_H_WG	6144
M10_H_RG	M19_R_H_WG	6144
M10_H_RG	M20_D_WG	5760
M10_H_RG	M21_R_D_WG	5760
M10_H_RG	M22_H_D_WG	5760
M10_H_RG	M23_R_H_D_WG	5760
M10_H_RG	M24_RG_WG	5760
M10_H_RG	M25_R_RG_WG	5760
M10_H_RG	M26_H_RG_WG	6144
M10_H_RG	M27_R_H_RG_WG	6144
M10_H_RG	M28_D_RG_WG	5760
M10_H_RG	M29_R_D_RG_WG	5760
M10_H_RG	M30_H_D_RG_WG	5760
M10_H_RG	M31_R_H_D_RG_WG	5760
M11_R_H_RG	M12_D_RG	5760
M11_R_H_RG	M13_R_D_RG	5760
M11_R_H_RG	M14_H_D_RG	5760
M11_R_H_RG	M15_R_H_D_RG	5760
M11_R_H_RG	M16_WG	5760
M11_R_H_RG	M17_R_WG	5760
M11_R_H_RG	M18_H_WG	6144
M11_R_H_RG	M19_R_H_WG	6144
M11_R_H_RG	M20_D_WG	5760
M11_R_H_RG	M21_R_D_WG	5760
M11_R_H_RG	M22_H_D_WG	5760
M11_R_H_RG	M23_R_H_D_WG	5760
M11_R_H_RG	M24_RG_WG	5760
M11_R_H_RG	M25_R_RG_WG	5760
M11_R_H_RG	M26_H_RG_WG	6144
M11_R_H_RG	M27_R_H_RG_WG	6144
M11_R_H_RG	M28_D_RG_WG	5760
M11_R_H_RG	M29_R_D_RG_WG	5760
M11_R_H_RG	M30_H_D_RG_WG	5760
M11_R_H_RG	M31_R_H_D_RG_WG	5760
M12_D_RG	M13_R_D_RG	6144
M12_D_RG	M14_H_D_RG	5760
M12_D_RG	M15_R_H_D_RG	5760
M12_D_RG	M16_WG	5760
M12_D_RG	M17_R_WG	5760
M12_D_RG	M18_H_WG	5760
M12_D_RG	M19_R_H_WG	5760
M12_D_RG	M20_D_WG	6144
M12_D_RG	M21_R_D_WG	6144
M12_D_RG	M22_H_D_WG	5760
M12_D_RG	M23_R_H_D_WG	5760
M12_D_RG	M24_RG_WG	5760
M12_D_RG	M25_R_RG_WG	5760
M12_D_RG	M26_H_RG_WG	5760
M12_D_RG	M27_R_H_RG_WG	5760
M12_D_RG	M28_D_RG_WG	6144
M12_D_RG	M29_R_D_RG_WG	6144
M12_D_RG	M30_H_D_RG_WG	5760
M12_D_RG	M31_R_H_D_RG_WG	5760
M13_R_D_RG	M14_H_D_RG	5760
M13_R_D_RG	M15_R_H_D_RG	5760
M13_R_D_RG	M16_WG	5760
