configuration_id	probe	family_id	detail
R06_1_ME_B0_P0	N01_IDENTITY_NONLINEAR	M06_H_D	motif;numeric_status
R06_1_ME_B0_P0	N02_CROSS_NONLINEAR	M06_H_D	motif;numeric_status
R09_1_ME_B0_P0	N02_CROSS_NONLINEAR	M06_H_D	motif;numeric_status
R12_1_MD_B0_P0	N01_IDENTITY_NONLINEAR	M05_R_D	motif;numeric_status
R12_1_MD_B0_P0	N02_CROSS_NONLINEAR	M05_R_D	motif;numeric_status
R13_1_ME_B0_P0	ORIGINAL	M06_H_D	NUMERIC_UNCERTAIN
R13_1_ME_B0_P0	N01_IDENTITY_NONLINEAR	M06_H_D	NUMERIC_MARGIN
R13_1_ME_B0_P0	N02_CROSS_NONLINEAR	M06_H_D	NUMERIC_MARGIN
R00_3_M9_B0_P0	N01_IDENTITY_NONLINEAR	M06_H_D	motif;numeric_status
R00_3_M9_B0_P0	N02_CROSS_NONLINEAR	M06_H_D	motif;numeric_status
R08_3_M9_B0_P0	N01_IDENTITY_NONLINEAR	M06_H_D	motif;numeric_status
R08_3_M9_B0_P0	N02_CROSS_NONLINEAR	M06_H_D	motif;numeric_status
V001_MC_B0_P0	ORIGINAL	M05_R_D	NUMERIC_UNCERTAIN
V001_MC_B0_P0	N01_IDENTITY_NONLINEAR	M05_R_D	NUMERIC_MARGIN
V001_MC_B0_P0	N02_CROSS_NONLINEAR	M05_R_D	motif;numeric_status
V011_MF_B0_P0	N02_CROSS_NONLINEAR	M06_H_D	motif;numeric_status
R00_1_MD_B0_P4	ORIGINAL	M05_R_D	NUMERIC_UNCERTAIN
R00_1_MD_B0_P4	N01_IDENTITY_NONLINEAR	M05_R_D	NUMERIC_MARGIN
R00_1_MD_B0_P4	N02_CROSS_NONLINEAR	M05_R_D	NUMERIC_MARGIN
R09_1_MC_B0_P4	N02_CROSS_NONLINEAR	M06_H_D	motif;numeric_status
V005_MA_B0_P4	ORIGINAL	M05_R_D	NUMERIC_UNCERTAIN
V005_MA_B0_P4	N01_IDENTITY_NONLINEAR	M05_R_D	NUMERIC_MARGIN
V005_MA_B0_P4	N02_CROSS_NONLINEAR	M05_R_D	NUMERIC_MARGIN
V009_MB_B0_P4	ORIGINAL	M06_H_D	NUMERIC_UNCERTAIN
V009_MB_B0_P4	N01_IDENTITY_NONLINEAR	M06_H_D	NUMERIC_MARGIN
V009_MB_B0_P4	N02_CROSS_NONLINEAR	M06_H_D	NUMERIC_MARGIN
V010_M9_B0_P4	N01_IDENTITY_NONLINEAR	M06_H_D	motif;numeric_status
V010_MF_B0_P4	N02_CROSS_NONLINEAR	M05_R_D	motif;numeric_status
R00_1_M1_B1_P1	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
R00_1_M1_B1_P1	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
R00_1_M1_B1_P1	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
R00_1_M1_B1_P1	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
R00_1_M1_B1_P1	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
R00_1_M1_B1_P1	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
R00_1_M1_B1_P1	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
