rule_id	instruments_or_condition	bounded_observation	evidence_count	status	maximum_interpretation
I01	R and H each have a certified unique split	Their two Lorentzian rank-two blocks are noncommuting crossing splits with intersection dimensions 0;0;0;0 and commutator rank 4; together they are full-algebra irreducible.	2090 configurations	OBSERVED	Crossing pointwise algebraic motifs; no transport or physical sector selected
I02	Nonzero D added to H	H+D is full-algebra irreducible except retained numerical margins.	3067 classified full; 5 uncertain	OBSERVED	The dyad generally completes pointwise mixing with H in this ensemble
I03	D alone	D produces a distinguished line plus its orthogonal three-space when the gradient is nonzero and scalar ambiguity when it is zero.	3072 line-plus-three; 3072 scalar	OBSERVED	Pointwise dyad geometry only
I04	Unique Lorentzian split with nonzero grad(phi)	The gradient has nonzero projections into both the Lorentzian block and its spacelike complement; it is never wholly contained in either in the registered classified cases.	7840 split-across incidences; 0 wholly-in-one; 0 wholly-in-complement	OBSERVED	Incidence census, not a dynamical coupling
I05	RG or WG singleton family	The curvature-generator orchestra is full-algebra irreducible when active and scalar/silent otherwise.	Each: 5376 full; 768 scalar	OBSERVED	Pointwise curvature action only
I06	Curvature-silent configurations	Half remain scalar across all 31 families; in the other half H and D recover their 1+1+2 and 1+3 motifs and H+D gives full mixing.	384 fully scalar; 384 phi-activated	OBSERVED	A conditional algebraic contrast, not a selected branch
I07	RG versus WG across matched subset families	RG- and WG-containing counterparts have identical saved motif, algebra-dimension, primitive-projector, and signature classifications at all 6144 configurations.	6144 per matched comparison	OBSERVED	Motif/projector equivalence only; not equality of the curvature operators
I08	Adding one instrument on the complete 75-edge nonempty subset lattice	Most additions leave full mixing full; the remaining classified additions preserve blocks, mix blocks to full algebra, or resolve ambiguity into a certified motif.	313692 full-remains-full; 57596 preserved; 75996 mixes-to-full; 13437 ambiguity-to-motif; 79 uncertain	OBSERVED	A bounded assembly grammar; no transition is ranked as physics
I09	Complete 31-family motif word per configuration	Only 14 distinct motif fingerprints occur across the 6144 configurations.	14 fingerprints	OBSERVED	A compact motif vocabulary in this ensemble, not a universal theorem
I10	Adding R to a family already containing RG or WG	The saved motif/projector classification is unchanged throughout the registered ensemble.	All 6144 configurations for each matched family comparison	OBSERVED	Motif redundancy only; not operator equality or physical dispensability
