family_id	mask	instrument_groups	operator_keys	registry_status
M01_R	1	R	R	PREREGISTERED_COMPLETE_LATTICE
M02_H	2	H	H	PREREGISTERED_COMPLETE_LATTICE
M03_R_H	3	R;H	R;H	PREREGISTERED_COMPLETE_LATTICE
M04_D	4	D	D	PREREGISTERED_COMPLETE_LATTICE
M05_R_D	5	R;D	R;D	PREREGISTERED_COMPLETE_LATTICE
M06_H_D	6	H;D	H;D	PREREGISTERED_COMPLETE_LATTICE
M07_R_H_D	7	R;H;D	R;H;D	PREREGISTERED_COMPLETE_LATTICE
M08_RG	8	RG	RG	PREREGISTERED_COMPLETE_LATTICE
M09_R_RG	9	R;RG	R;RG	PREREGISTERED_COMPLETE_LATTICE
M10_H_RG	10	H;RG	H;RG	PREREGISTERED_COMPLETE_LATTICE
M11_R_H_RG	11	R;H;RG	R;H;RG	PREREGISTERED_COMPLETE_LATTICE
M12_D_RG	12	D;RG	D;RG	PREREGISTERED_COMPLETE_LATTICE
M13_R_D_RG	13	R;D;RG	R;D;RG	PREREGISTERED_COMPLETE_LATTICE
M14_H_D_RG	14	H;D;RG	H;D;RG	PREREGISTERED_COMPLETE_LATTICE
M15_R_H_D_RG	15	R;H;D;RG	R;H;D;RG	PREREGISTERED_COMPLETE_LATTICE
M16_WG	16	WG	WG	PREREGISTERED_COMPLETE_LATTICE
M17_R_WG	17	R;WG	R;WG	PREREGISTERED_COMPLETE_LATTICE
M18_H_WG	18	H;WG	H;WG	PREREGISTERED_COMPLETE_LATTICE
M19_R_H_WG	19	R;H;WG	R;H;WG	PREREGISTERED_COMPLETE_LATTICE
M20_D_WG	20	D;WG	D;WG	PREREGISTERED_COMPLETE_LATTICE
M21_R_D_WG	21	R;D;WG	R;D;WG	PREREGISTERED_COMPLETE_LATTICE
M22_H_D_WG	22	H;D;WG	H;D;WG	PREREGISTERED_COMPLETE_LATTICE
M23_R_H_D_WG	23	R;H;D;WG	R;H;D;WG	PREREGISTERED_COMPLETE_LATTICE
M24_RG_WG	24	RG;WG	RG;WG	PREREGISTERED_COMPLETE_LATTICE
M25_R_RG_WG	25	R;RG;WG	R;RG;WG	PREREGISTERED_COMPLETE_LATTICE
M26_H_RG_WG	26	H;RG;WG	H;RG;WG	PREREGISTERED_COMPLETE_LATTICE
M27_R_H_RG_WG	27	R;H;RG;WG	R;H;RG;WG	PREREGISTERED_COMPLETE_LATTICE
M28_D_RG_WG	28	D;RG;WG	D;RG;WG	PREREGISTERED_COMPLETE_LATTICE
M29_R_D_RG_WG	29	R;D;RG;WG	R;D;RG;WG	PREREGISTERED_COMPLETE_LATTICE
M30_H_D_RG_WG	30	H;D;RG;WG	H;D;RG;WG	PREREGISTERED_COMPLETE_LATTICE
M31_R_H_D_RG_WG	31	R;H;D;RG;WG	R;H;D;RG;WG	PREREGISTERED_COMPLETE_LATTICE
