catch_id	result
K01_MISSING_SUBSET	REJECTED_AS_REQUIRED
K02_DUPLICATE_SUBSET	REJECTED_AS_REQUIRED
K03_MISSING_EDGE	REJECTED_AS_REQUIRED
K04_DROPPED_OPERATOR	REJECTED_AS_REQUIRED
K05_SUPPLIED_PLANE	REJECTED_AS_REQUIRED
K06_NORMALIZED_NULL_DYAD	REJECTED_AS_REQUIRED
K07_BAD_BLOCK_SIGNATURE	REJECTED_AS_REQUIRED
K08_MUTATED_INCIDENCE	REJECTED_AS_REQUIRED
K09_OMITTED_MAP_JETS	REJECTED_AS_REQUIRED
K10_UNCERTAINTY_PROMOTION	REJECTED_AS_REQUIRED
K11_DEFECTIVE_JORDAN	REJECTED_AS_REQUIRED
K12_FALSE_SAME_SPLIT	REJECTED_AS_REQUIRED
