fingerprint_id	configurations	motif_sequence_json
FP0001	11	"[""FOUR_LINES"",""FOUR_LINES"",""FULL_IRREDUCIBLE_4"",""LINE_PLUS_THREE"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4""]"
FP0002	539	"[""FOUR_LINES"",""SCALAR_4_AMBIGUITY"",""FOUR_LINES"",""SCALAR_4_AMBIGUITY"",""FOUR_LINES"",""SCALAR_4_AMBIGUITY"",""FOUR_LINES"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4""]"
FP0003	523	"[""FOUR_LINES"",""TWO_PLUS_TWO_LINES"",""FULL_IRREDUCIBLE_4"",""LINE_PLUS_THREE"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4""]"
FP0004	2	"[""FOUR_LINES"",""TWO_PLUS_TWO_LINES"",""FULL_IRREDUCIBLE_4"",""LINE_PLUS_THREE"",""FULL_IRREDUCIBLE_4"",""NUMERIC_UNCERTAIN"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4""]"
FP0005	3	"[""FOUR_LINES"",""TWO_PLUS_TWO_LINES"",""FULL_IRREDUCIBLE_4"",""LINE_PLUS_THREE"",""NUMERIC_UNCERTAIN"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4""]"
FP0006	1	"[""NUMERIC_UNCERTAIN"",""SCALAR_4_AMBIGUITY"",""NUMERIC_UNCERTAIN"",""SCALAR_4_AMBIGUITY"",""NUMERIC_UNCERTAIN"",""SCALAR_4_AMBIGUITY"",""NUMERIC_UNCERTAIN"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4""]"
FP0007	1	"[""NUMERIC_UNCERTAIN"",""TWO_PLUS_TWO_LINES"",""FULL_IRREDUCIBLE_4"",""LINE_PLUS_THREE"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4""]"
FP0008	384	"[""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY""]"
FP0009	384	"[""SCALAR_4_AMBIGUITY"",""TWO_PLUS_TWO_LINES"",""TWO_PLUS_TWO_LINES"",""LINE_PLUS_THREE"",""LINE_PLUS_THREE"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""TWO_PLUS_TWO_LINES"",""TWO_PLUS_TWO_LINES"",""LINE_PLUS_THREE"",""LINE_PLUS_THREE"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""TWO_PLUS_TWO_LINES"",""TWO_PLUS_TWO_LINES"",""LINE_PLUS_THREE"",""LINE_PLUS_THREE"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""SCALAR_4_AMBIGUITY"",""SCALAR_4_AMBIGUITY"",""TWO_PLUS_TWO_LINES"",""TWO_PLUS_TWO_LINES"",""LINE_PLUS_THREE"",""LINE_PLUS_THREE"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4""]"
FP0010	58	"[""TWO_PLUS_TWO_LINES"",""FOUR_LINES"",""FULL_IRREDUCIBLE_4"",""LINE_PLUS_THREE"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4"",""FULL_IRREDUCIBLE_4""]"
