item	status	ownership	omitted_or_open
four_real_dimensions	pinned-by-THEORY	complete UDT metric arena uses a four-dimensional Lorentz metric	other dimensions
Lorentz_signature_and_clock_ruler_sign	pinned-by-THEORY	declared local Lorentzian quadratic readout and calibrated clock/ruler typing	signature-changing and null-degenerate strata
full_metric_g	free-and-explored	all smooth regular Lorentz metrics in the bounded arena	physical numerical history and solution law
observer_two_planes	free-and-explored	arbitrary supplied regular timelike planes and bivectors	physical query population and branch weights
full_bivector_bilinear	pinned-by-THEORY	G133 derives A_g from full supplied g	physical primitive status of area data
reciprocal_character	pinned-by-THEORY	D(delta) on supplied ordered depth	complete observer-event-path-to-depth owner
co_presence	pinned-by-THEORY	working co-membership semantics in one supplied complete solution	query and value assignment
overlap_maps	free-and-explored	supplied lawful smooth tensor/chart transitions	physical atlas selection and singular completion
c_E	pinned-by-THEORY	observed clock/ruler calibration anchor	metric-history value law
G_obs	omitted-not-load-bearing	observed gravitational anchor	matter-density-energy bridge
orientation_time_orientation	free-and-explored	supplied only where needed to fix sign/type conventions	global orientability and time-orientability
action_source_bootstrap_matter	omitted-not-load-bearing	no imported physical selector	all remain open or conditional
observations_radiative_transfer	omitted-not-load-bearing	no fit or comparison in this audit	all observational claims
X_max	omitted-not-load-bearing	no boundary or asymptotic identification	exact profile value and global realization
numeric_parameters	NONE	exact symbolic and rational algebra only	no tolerance or fitting coefficient
