sha256	path	kind
c8832c632f355cfac6ba0aedeec0fadff4a95ef71343fe2b9118601c80b8ef79	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/AUDIT_REPORT.md	current repair state
f6c90a3d5853b0286c1966408ac798f1fa3bfcee494fcb777ebf22d69c073960	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/CATCH_PROOF_RESULT.json	unchanged evidence
4b0528f671fc631a3dce2e7d60dd619f3a2fcda4878ae87a85e59fe38786ef46	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/DERIVATION_RESULT.json	unchanged evidence
f7982335504bb310bf5bf6f75c46f6a6e2607b7526de755db04724ece3940787	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/EVIDENCE_GATES.md	current repair state
fd5523d641438fe0ab84363c3f11f9871f4cab44c255717aee7dd9f8fcee37df	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/EXACT_DERIVATION.md	unchanged mathematics
3b96773aedf5ba8135e4458986f5a35c5a37c3f2fbdef5bb7a7f49a6c6a18d9c	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/FOLLOWUP_REVIEW_REQUEST.md	follow-up instructions
0cea8c23e843da8b4abb8ad5e8e8abe43904797d7ddf71dcb7c9333ddb67cfe3	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/FRESH_ADVERSARIAL_REVIEW.md	original review record
7aef4f18102c77774c6c4c002dfe99cb872ae8674b6ed99d084ed6bdc4ae38f0	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/INDEPENDENT_VERIFICATION.json	unchanged evidence
b501f43fdc38b3765eb9b1f4c7d1aab4652be2f6c36dd3dadb65410f07c6ce83	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/ORIGINAL_REVIEW_MANIFEST.tsv	original intake manifest
b52a440b3e72ba2a3db720912ebab7be55a337b0a8a196a3496bcb895f528f7a	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/PREMISE_LEDGER.tsv	unchanged premise ledger
6bc8d62a6a0999ab28035cfe5342378c774d9b38b8e4f4ff983e952ae69e7817	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/PREREGISTRATION.md	unchanged preregistration
e2eb5a4097c1d9a2abfbfb2f60fd9065f1bfbbadc5636b82a137d2799d9e5c35	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/REPAIR_RECORD.md	registered repair
01c14974ae4a8e5fdb74eefef70e53fdd679f7ffe712a929e34b55e91a33f899	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/REVIEW_REQUEST.md	original review instructions
918fa39997d188cd8363bd284edbbfb1cf13edc6abd6feb943635d2ee34d567a	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/STATUS.md	current repair state
d100c05a67d0f684520074270621cfa67f73d78b206badea4a808779fb0d6f13	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/build_review_intake.py	repaired intake builder
f1fdf5041a3ac9e3d02613840acc8509fa9c9f5e2591cd59d65131b6db954247	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/derive_area_history_reframe.py	unchanged production implementation
bead21778e123df6d413ea91f665f93b27bd33058fcddb33b66450808fad7471	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/run_catch_proofs.py	unchanged catch implementation
b3fddc0e7d5000ecb12a0a08af55d17ddd5c454eac05c56809545433e1ba4de6	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/verify_area_history_reframe_independent.py	unchanged independent implementation
4d1a9c4e876f61c3b97dd6a660399a5e216ef03d8ff6150680bc938d08126b7f	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/verify_package.py	current package verifier
