catch	result
dual_norm_mutation_rejected	PASS
causal_branch_mutation_rejected	PASS
angular_curvature_mutation_rejected	PASS
mixed_curvature_mutation_rejected	PASS
regular_center_mutation_rejected	PASS
clock_threading_countermodel_loss_rejected	PASS
local_CSN_promotion_rejected	PASS
missing_ledger_row_rejected	PASS
duplicate_ledger_row_rejected	PASS
full_signature_flip_promotion_rejected	PASS
unconditional_phi_promotion_rejected	PASS
source_hash_mutation_rejected	PASS
source_anchor_mutation_rejected	PASS
production_false_check_rejected	PASS
maximum_conclusion_inflation_rejected	PASS
wrong_prereg_base_rejected	PASS
event_horizon_promotion_rejected	PASS
micro_transition_promotion_rejected	PASS
