item	status	role	omitted_or_open
c_E	OBSERVED__SET_TO_ONE_IN_CONTROL_UNITS	clock_ruler_calibration_only	placement_and_closure
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	acts_after_full_pair_pullback	global_extension_and_canon
displayed_coframe	CHOSE_MATHEMATICAL_FUNCTION_FAMILY	bounded_general_symmetric_extension	general_complete_metric
a_positive_C3_a0_one	FREE_AND_EXPLORED__SOURCE_UNIT_CALIBRATION	common_scale_history	physical_history_selection
A_N_B_real_C2	FREE_AND_EXPLORED	all_three_symmetric_screen_mixing_histories	physical_history_selection
symmetric_M	CHOSE_BOUNDED_EXTENSION	complete_symmetric_2x2_tile	antisymmetric_rotation
central_pair_plus_z	CHOSE_QUERY	completed_pair_and_outgoing_germ	physical_query_population
affine_frequency_screen	DERIVED_CONDITIONAL	metric_evaluator_outputs	transfer_and_observations
turns_caustics_signs	CHARACTERIZE_NOT_FILTER	outcome_classes	global_branch_aggregation
P1_G116_G189	OMITTED	forbidden_construction_inputs	none
Xmax_transfer_source_observations	OMITTED	downstream_or_global_only	all
