object	status	scope_or_guard
G194_preregistration	COMMITTED_BEFORE_COMPUTE	commit_90057d83
displayed_general_symmetric_coframe	CHOSE_MATHEMATICAL_FUNCTION_FAMILY	not_general_complete_metric
a_positive_C3	FREE_AND_EXPLORED	a0_one_is_source_unit_calibration
A_N_B_real_C2	FREE_AND_EXPLORED	all_symmetric_entries_live
central_pair_plus_z	CHOSE_QUERY	one_supplied_pair_germ
affine_frequency	DERIVED_CONDITIONAL	Z_equals_one_over_a
parallel_coordinate_screen	DERIVED_CONDITIONAL	requires_symmetric_M_in_displayed_family
full_tide	DERIVED_CONDITIONAL	tau0_I_plus_2Mprime_minus4M2_over_a4
ordered_factorization	DERIVED_CONDITIONAL	no_commutativity_assumption
no_nonvertex_caustic	DERIVED_CONDITIONAL	connected_regular_symmetric_family_only
finite_polar_rotation	OBSERVED_CONTROL	no_physical_sign_or_magnitude
independent_replay	PASS	267_histories_4007_assertions
hostile_catches	PASS	22_of_22
external_review	R5_REPAIRS_ACCEPTED__BOUNDED_LANDING_RETAINED	fresh_sealed_no_write_replay_pass
autodiff_equivalence	PASS	384_of_384_max_error_5.551115123125783e-16
artifact_drift	PASS	zero_forbidden_differences_max_allowed_drift_4.440892098500626e-16
antisymmetric_rotation	OPEN	next_distinct_failure_boundary
physical_history_pair_population_transfer_global_Xmax	OPEN	not_construction_inputs
