owner_id	structure	current_ownership	network_effect	history_restriction_status
O01	founded_reciprocal_character	DERIVED_ON_SUPPLIED_ORDERED_DEPTH	exact composition and reversal on matched depth arrows	IDENTITY_OR_CONDITIONAL_COMPARISON
O02	common_family_kappa_phi_endpoint_states	CONDITIONAL_ON_SUPPLIED_COMMON_CALIBRATED_FAMILY	exact scalar coboundaries and triangle descent	IDENTITY_FOR_ARBITRARY_OBJECT_HISTORIES
O03	shift_beta	DERIVED_PAIR_STATE_ON_SUPPLIED_PAIR_METRIC	matched middle-object state; no standalone additive character	NO_INDEPENDENT_RESTRICTION
O04	angular_normal_carry	DERIVED_PATH_LABELLED_ON_SUPPLIED_R17_PATH	exact composition reversal and possibly nontrivial holonomy	HOLONOMY_ALLOWED
O05	complete_endpoint_coframe_transition	DERIVED_PRESENTATION_TRANSITION	exact flat descent E_j E_i^-1 for arbitrary smooth frames	IDENTITY_FOR_ARBITRARY_FRAME_HISTORIES
O06	physical_calibrated_pair_query_relation_family_and_nonisometric_arrow	OPEN	would type and join complete channels physically before route policy can apply	NO_OWNER
O07	terminal_cE_ratio	CONDITIONAL_ON_SUPPLIED_CALIBRATED_PAIR_METRIC	multiplicative carried ratio; route mismatch equals scalar monodromy	READOUT_NOT_SELECTOR
O08	local_causal_typing	DERIVED_ON_SUPPLIED_IMMERSION	preserved under lawful composition	AUTOMATIC_LOCAL_IDENTITY
O09	global_causal_faithfulness	OPEN_POSSIBLE_FILTER	could restrict global pair family/completion	NOT_YET_TESTABLE_WITHOUT_OWNER
O10	direct_equals_composite_all_routes	CONDITIONAL_COMMON_ATLAS_OR_PATH_INDEPENDENCE	forces finite-network periods and holonomies to vanish; continuum curvature inference needs chosen smooth connection contractible neighborhood and identity sufficiently-small-loop holonomy	CONDITIONAL_NONIDENTITY_FLAT_DESCENT
O11	four_observer_face_coherence	DERIVED_BOUNDARY_OF_BOUNDARY_BOOKKEEPING_IDENTITY	relates face returns without zeroing them; no new compatibility theorem	IDENTITY_NOT_DYNAMICS
O12	bootstrap	WORKING_HYPOTHESIS_INACTIVE	could later select background and histories	NOT_USED
