premise_id	statement	provenance_tag	source_or_status	audit_treatment
P01	declared positive-screen time-oriented regular BQS chart	pinned-by-THEORY	G61 exact local chart theorem	bounded arena only
P02	all B Q S fields may depend smoothly on time and space	pinned-by-THEORY	G60 complete time-live compatibility	kept live
P03	founded reciprocal character acts on a supplied ordered depth	pinned-by-THEORY	founding pair-relation audit	kept typed; depth assignment not assumed
P04	complete regular pair state may retain kappa phi beta and path-labelled angular carry	pinned-by-THEORY	multichannel assembly audit	all channels retained
P05	c_E calibrates terminal reciprocal readout	pinned-by-THEORY	terminal reciprocal audit	one calibration scale; not equal local c_eff everywhere
P06	direct edge equals composite route	free-and-explored	OPEN ownership	both closure and route-dependent cases classified
P07	angular or complete connection is flat	free-and-explored	OPEN ownership	not imposed; flat subcase classified
P08	Delta phi is a global object coboundary	free-and-explored	conditional common-family realization	compared with pair/path-labelled scalar data
P09	physical observer query and path	free-and-explored	OPEN	no preferred query or path selected
P10	causal faithfulness is global and mandatory	free-and-explored	OPEN possible filter	local cone typing separated from global order reflection
P11	bootstrap density energy or curvature target	pinned-by-HABIT	working hypothesis only	inactive and excluded
P12	action source carrier matter or boundary functional	pinned-by-HABIT	OPEN	excluded
P13	time profile frequency phase and derivatives	free-and-explored	no owned evolution law	arbitrary smooth witnesses required
P14	regular triangle and tetrahedral observer labels	free-and-explored	finite exact diagnostic arena	labels carry no physical spacing or regime
