test_id	test	failure_or_landing
F01	construct exact three-observer complete-channel composition and reversal	failure means assembly algebra or typing is wrong
F02	construct four-observer face and loop coherence independently	failure means triangle evidence was insufficient
F03	retain nonzero SO2 or complete-arrow holonomy while preserving lawful composition	witness refutes silent path-independence
F04	construct arbitrary smooth time-live object histories satisfying all owned endpoint-coboundary conditions	witness supports assembly identities only
F05	construct pair/path-labelled scalar data with reversal but nonzero triangle period	witness shows reversal alone does not derive a cocycle
F06	apply terminal cE ratios around every composable chain and closed loop	classify telescoping versus extra constraint without redefining cE
F07	derive the exact condition imposed by direct-equals-composite	classify as owned derived conditional or open
F08	test whether flat descent forces connection curvature zero on contractible loops	conditional restriction only unless ownership is found
F09	test local causal typing separately from global order reflection	no global restriction may be claimed from local cone preservation
F10	map every condition to one of the fifteen frozen sources	unowned condition cannot become a UDT law
F11	independently implement load-bearing finite graph and matrix algebra without production imports	shared implementation cannot certify result
F12	catch proofs reject cE-everywhere flattening holonomy erasure associativity/descent collapse and downstream promotion	any missed mutation blocks banking
