claim	status	scope
rank_complete_full_pair_network_reconstructs_metric	DERIVED_CONDITIONAL	G129-G130 regular known-embedding cover
second_history_selector_after_valued_rank_complete_network	CATEGORY_ERROR	metric is reconstruction of the same state
network_values_generated_by_current_identities	NOT_DERIVED	arbitrary smooth counterfamily survives
two_generic_completed_clocks_reconstruct_Omega_q	DERIVED_CONDITIONAL	one supplied regular G211 germ with nonzero tomography determinant
matched_pair_cocycle_is_endpoint_potential	DERIVED_CONDITIONAL	matched thin endpoint family only
generic_pair_germs_have_triangle_additivity	NOT_DERIVED	G171 counterclassification retained
universal_terminal_scalar_forces_geometry	FALSE_IN_DECLARED_CLASS	scalar blind sectors survive
full_all_germ_two_jet_isotropy_forces_constant_curvature	DERIVED_CONDITIONAL	connected dimension at least three and full curvature isotropy
all_germ_two_jet_isotropy_owned_by_UDT	OPEN_NOT_DERIVED	would be added symmetry scaffolding if promoted
finite_anchors_select_arbitrary_functions	FALSE_WITHOUT_FINITE_MODULI_THEOREM	finite anchor jets admit nontrivial smooth deformations
determinant_one_spatial_remainder_census	NEXT_GATE	needed before completed-pair rank-ten test
physical_history_Xmax_transfer_source_action	OPEN	omitted from G212
