object	status	role	forbidden_promotion
founded_reciprocal_character	DERIVED_ON_SUPPLIED_DEPTH	exact reciprocal representation	does not assign depth to observers or separation
complete_metric	SUPPLIED	downstream geometry evaluated by pair pullbacks	does not select its own sector functions
completed_pair_normalization	WORKING_FOUNDATIONAL_CLARIFICATION	reciprocity applies after complete pullback	does not populate physical germs or histories
G211_diagonal_basis	DERIVED_CONDITIONAL	two exact local scalar modes after supplied split	does not evolve either mode
pair_composition	DERIVED_OR_REQUIRED_WITHIN_MATCHED_FAMILY	middle-calibration and cocycle consistency	must not be read as a profile equation without proof
separation_parameter	SUPPLIED_OR_TO_BE_DERIVED	labels a pair family	must not be identified with areal radius or X_max by habit
all_observer_same_radial_law	CANDIDATE_EXTRA_HYPOTHESIS_TO_AUDIT	possible observer-equivalence bridge	must not be called founded unless exact implication is shown
c_E	OBSERVED	clock/ruler calibration anchor	not a history equation or local signal law
G_obs	OBSERVED	gravitational dimensional anchor	not a history equation without an owned typed bridge
X_max	WORKING_FOUNDATIONAL_FRAME	possible consequence of completed global relation	not an input to G212
determinant_one_spatial_remainder	OPEN	possible additional compatibility content	must not be frozen or assumed absent
action_source_transfer_bootstrap	OMITTED	outside bounded whiteboard	must not be imported to close the bridge
