item	status	use	guard
original prompt time dilation with distance	HISTORICAL_FOUNDING_INTENT	separation-to-dilation direction	distance notion and function not silently supplied
original prompt mutual slowdown	HISTORICAL_FOUNDING_INTENT	reversal-even physical motivation	not identified with signed null arrow
original prompt asymptotic boundary	HISTORICAL_FOUNDING_INTENT	bounded-end motivation	no numerical X or X_max realization
F1 reciprocal c_E identity	OBSERVED_PLUS_FOUNDATIONAL_INTERPRETATION	clock-ruler dimensional pairing	no standalone distance scale
F2 Dual Reciprocity	FOUNDATIONAL	determinant-one reciprocal legs	acts on supplied ordered depth
F3 composition and reversal	POSIT	additive depth and inverse arrow	no event-to-depth assignment
F4 metric readout	DECLARED_READOUT	primary reciprocal metric form	no phi profile
W1 completed-pair reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	complete pullback before readout	not canon
G269-G272 complete transported state	DERIVED_CONDITIONAL	Gamma eta rho v and screen W	requires supplied relation clocks and transport
projective physical-distance attachment	CANDIDATE_NOT_ADOPTED	tested as x-vector/X equals v	must be graded after derivation
dimensionful scale X	OPEN_OMITTED	none	c_E alone has L/T
physical history and branch population	OPEN_OMITTED	none	no selector imported
X_max	WORKING_FOUNDATIONAL_FRAME_OMITTED	none	no value profile boundary or realization
observations source action matter transfer	OMITTED	none	no fit or mechanism
