item	status	qualification
founding_distance_to_dilation_direction	HISTORICAL_FOUNDING_INTENT	exact origin prompts
strict_x_over_X_equals_tanh_entailment	REFUTED	bounded smooth counterattachment shares weaker requirements
projective_reciprocal_contrast	DERIVED	tanh(delta) unique in normalized scale-free linear-fractional class
complete_open_ball_vector	DERIVED_CONDITIONAL	supplied relation endpoint clocks and Levi-Civita transport; screen retained
radial_projective_profile	EXACT_STRATUM	chi=tanh(delta) up to pair orientation
physical_projective_distance_attachment	CANDIDATE_WORKING_FOUNDATIONAL_CLARIFICATION_NOT_ADOPTED	one ownership sentence; no new function
conditional_radial_phi_profile	CONDITIONAL	if x/X=chi then Delta phi=artanh(x/X)
dimensionful_scale_X	OPEN	c_E alone supplies L/T
physical_history_branch_population_Xmax	OPEN_NOT_SELECTED	no law observation fit or global realization
package_grade	EXTERNALLY_REVIEWED_BOUNDED_LEAD	external gpt-5.4 accepted with no repairs
