catch_id	mutation	status
F01	F01_missing_candidate	PASS
F02	F02_duplicate_candidate	PASS
F03	F03_false_fixed_member	PASS
F04	F04_collapse_tie	PASS
F05	F05_lex_covariant	PASS
F06	F06_gluing_equated	PASS
F07	F07_sign_promoted	PASS
F08	F08_connection_to_section	PASS
F09	F09_curvature_ignored	PASS
F10	F10_holonomy_ignored	PASS
F11	F11_bad_cap	PASS
F12	F12_rank_loss	PASS
F13	F13_CSN_selects	PASS
F14	F14_seal_selects	PASS
F15	F15_bootstrap_local	PASS
F16	F16_density_inserted	PASS
F17	F17_action_promoted	PASS
F18	F18_completion_privileged	PASS
F19	F19_matter_claim	PASS
F20	F20_source_count	PASS
