premise	status	active_use	forbidden_promotion
smooth_time_oriented_Lorentz_metric	SUPPLIED	ambient_metric_and_future_orientation	selected_physical_history
three_observer_germs_and_marked_events	SUPPLIED_QUERY	defines_endpoint_clock_lines	observer_population_law
metric_unit_observer_tangents	DERIVED_CONDITIONAL	shared_middle_clock_normalization	preferred_global_congruence
same_B_event_for_both_ribbons	SUPPLIED_COMPOSABILITY	puts_both_incident_lines_in_one_tangent_space	automatic_for_same_observer_label
two_regular_future_null_ribbons	SUPPLIED_QUERY	defines_incident_vertical_lines	unique_physical_relation_family
affine_vertical_generators	SUPPLIED_QUERY	coordinate_representatives	preferred_generator_scale
G216_clock_rate_chain	DERIVED_CONDITIONAL	compare_inverse_scalar_composition	vertical_line_identification_by_itself
G222_local_null_pair_plane	DERIVED_CONDITIONAL	regular_clock_ruler_pairing	global_pair_protocol
G223_mixed_line_pairing	DERIVED_CONDITIONAL	metric_functional_on_each_vertical_line	cross_ribbon_carry_without_shared_incidence
G176_completed_pair_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	interpret_inverse_clock_ruler_weights	proof_of_vertex_map
shared_event_vertical_switch	OPEN_TEST	classify_unique_metric_carry	assumed_result
direct_AC_is_actual_composite	OPEN_TEST_ONLY	conditional_composition_statement	constraint_on_independent_AC_ribbon
normal_screen_or_Jacobi_carry	OMITTED	separate_channel	inference_from_scalar_line_map
Xmax_profile_history_source_action_matter	OMITTED	outside_bounded_question	construction_input_or_inference
