item	status	boundary
smooth positive ruler density	DERIVED_CONDITIONAL	supplied connected smooth regular pair family
interval-wide completed ruler coordinate	DERIVED_CONDITIONAL	unique up to origin and orientation
calibrated determinant minus one	DERIVED_CONDITIONAL	working completed-pair Dual Reciprocity clarification
completed depth Phi=-1/2 log(-h00)	DERIVED_CONDITIONAL	regular h00<0 and det h<0
common metric scale retained	DERIVED_CONDITIONAL	kernel hears supplied scale; profile not selected
primary angular tape map	DERIVED_BOUNDED	time-orthogonal static-spherical family
radial turn and pure-angular regularity	DERIVED_BOUNDED	complete spatial tangent nonzero and r>0
G172 arbitrary-depth formula	RECLASSIFIED_CONTROL	valid areal-coordinate calibration; not completed scalar
endpoint reversal and telescoping	DERIVED_CONDITIONAL	same supplied completed family only
time-live derivatives	DERIVED_KINEMATIC	not dynamics or a history law
physical family realization	OPEN	metric evaluator does not select events or germs here
singular and global completion	OPEN	null degenerate zero-tangent branch and topology omitted
non-scalar transport and observations	OPEN	separately typed downstream questions
fresh external adversarial review	PENDING	required before stronger promotion
