premise_id	premise	statement	preregistered_status	test
P01	RECIPROCITY	Clock and ruler dilation form an opposed reciprocal pair	FOUNDING	Trace exact C0/C1 authority and algebra
P02	OBSERVED_C	Einsteinian c is an observed clock-distance conversion anchor	OBSERVED	Separate dimensional conversion from absolute scale selection
P03	COPRESENT_CLOCK_DISTANCE	In the working co-present reading, apparent propagation time is clock-distance dilation rather than foundational signal transit	WORKING	Test only its scale implications; do not promote the ontology
P04	WEAK_UNIT_FREEDOM	A global change of measurement units does not change physics	FOUNDING_OR_CALIBRATIONAL	Separate from metric-field equivalence
P05	COMMON_FACTOR_UNDETERMINED	Reciprocity may fail to determine a common positive factor	OPEN	Retain A explicitly and test
P06	GLOBAL_CONSTANT_CSN	Constant common rescalings of the physical metric are physically equivalent	CHALLENGED	Find exact authority and operational scope
P07	LOCAL_STRONG_CSN	Position-dependent conformal metrics Omega(x)^2 g are physically equivalent before scale selection	CHALLENGED	Find exact authority and transformation consequences
P08	PHYSICAL_REPRESENTATIVE	A calibrated physical metric representative is selected	OPEN	Trace any registered selector
P09	GR_REGIME_RECOVERY	UDT recovers the calibrated GR-regime metric at ordinary scales	WORKING_OR_OBSERVED	Separate empirical overlap from derivation
P10	C2_BACH_ROUTE	Pre-scale C2/Bach uniqueness applies to the physical UDT variation domain	UNIQUE_CONDITIONAL	Audit exact CSN dependence
P11	EH_ROUTE	Post-scale EH route applies after a physical representative is selected	CONDITIONAL	Audit selector dependence without adopting EH
P12	BOOTSTRAP_SCALE	Global bootstrap selects total mass, size, density, and physical scale	WORKING	Confirm operator remains open
