id	source	lines	role	exact_evidence	audit_ruling
L01	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	21-42;46-89;91-139	reciprocal foundation	Reciprocal-c plus dual Reciprocity gives uv=1 and the reciprocal metric; action profile and X remain underived	Reciprocal kinematics survives; strong CSN is not part of this derivation
L02	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	7-24;35-50;65-76	CSN authority	Names CSN an owner-locked foundational postulate and declares the common factor calibrational	Strong local CSN was assumed explicitly rather than derived
L03	UDT_NATIVE_ACTION_COLD_PACKET.md	35-81;83-117	cold foundation	Separates derived uv=1 from owner-locked CSN and chooses an Omega=1 representative	C0/C1 provenance confirms the logical separation
L04	UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	3-13	stage-I scope	Forbids cold arms from weakening the owner-locked premise	Cold-arm agreement cannot independently validate CSN
L05	UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	57-81	synchronization	Records CSN as FOUNDING/LOCKED and action/scale as open	Classification authority only; no derivation
L06	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	2-15	final action status	Separates S04 founding CSN from S06 uv=1 derived and S11-S14 conditional actions	Existing action grades already expose the dependency
L07	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	56-66;70-103;107-146	action fork	Local CSN defines the pre-scale route; C2 and EH require different extra premises	C2 physical priority weakens if strong CSN is withdrawn; EH remains conditional
L08	bootstrap_variation_selector_2026-07-18/DERIVATION_REPORT.md	1-48;121-176	bootstrap placement	Current bootstrap supplies no representative map or off-shell role	No existing scale-selection bridge rescues strong CSN
L09	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	9-25;27-75;104-149	representative selector	No current noncircular representative selector exists; conformal family changes proper geometry	The missing selector is factual; treating it as required depends on retaining strong CSN
L10	udt_premise_reset_audit_2026-07-19/POST_PREREG_C_G_SCALE_CLARIFICATION.md	8-29	owner scale layer	c_E and G_obs are accepted anchors while the pre-scale core was retained	Current audit reopens the retained pre-scale clause, not the anchors
L11	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	45-68;129-150	premise reset	Measured anchors introduce calibrated scale but were layered after CSN	The two-layer architecture was an owner ruling, not a theorem
L12	reciprocal_c_clock_channel_correction_2026-07-19/AUDIT_REPORT.md	9-38;65-91	clock channel	c^-1 names the clock channel; proper-clock readout still required a CSN representative	Channel algebra survives; representative gate must be reframed
L13	reciprocal_clock_optical_scale_selector_2026-07-19/DERIVATION_REPORT.md	1-93	clock/ruler optics	Clock and ruler ratio controls null slope; endpoint-dependent Omega changes physical redshift readout	Shows c/cones do not fix Omega while physical clocks need a representative
L14	copresence_causal_accessibility_selector_2026-07-19/DERIVATION_REPORT.md	1-111	co-presence/cones	Positive conformal rescaling preserves causal reach but rescales proper intervals	Causal result survives mathematically; physical equivalence does not follow
L15	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	39-78	scale closure	c_E and G_obs anchors still need native mass and closure and a scale-breaking equation	Anchors do not by themselves provide Xmax or absolute length
L16	udt_clock_anchor_scale_threading_audit_2026-07-22/AUDIT_REPORT.md	1-47;151-184	c threading	c_E is exact local clock/ruler conversion; c_E and G_obs alone have no absolute-scale monomial	Confirms conversion anchor without proving strong CSN or absolute scale
L17	udt_csn_dphi_transport_selector_audit_2026-07-23/AUDIT_REPORT.md	1-92	CSN-normalized transport	h0=abs(s)g is invariant under the assumed local conformal orbit but belongs to a nonunique family	Algebra survives as a normalization construction; physical pre-scale connection status becomes conditional
L18	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	1-180	intrinsic reciprocal structure	The nonnull dphi two-form 3+3 split is tensorial and CSN-invariant	Intrinsic algebra survives; CSN is not required to define the split in one physical metric
L19	udt_complete_metric_realization_zoomout_2026-07-23/AUDIT_REPORT.md	1-220	metric ontology	Bare metric is blind to named coframe lift and bootstrap operator is missing	The foundational-object seam remains and is sharpened by the CSN correction
L20	udt_metric_to_frontier_reference_2026-07-22/REFERENCE.md	1-100	dependency spine	c_E and G_obs calibrate mass per length but not absolute size; action/scale remain open	Reference survives with strong CSN relabeled
L21	udt_two_observer_separation_selector_audit_2026-07-24/AUDIT_REPORT.md	1-180	observer distance	h0 and q0 give a conditional CSN-invariant spatial construction with an hf family	Construction survives algebraically; claim of physical pre-scale ruler remains conditional
L22	udt_bootstrap_substrate_micro_closure_audit_2026-07-23/AUDIT_REPORT.md	1-190	bootstrap/micro	Simultaneous closure is type-correct but native mass response and physical representative are open	If physical metric is primary the representative subproblem may disappear; mass/source closure does not
L23	udt_involutive_exchange_branch_availability_audit_2026-07-24/AUDIT_REPORT.md	1-220	current selector boundary	No registered branch joins native dynamics global involution and cap completion	Independent of strong CSN except where normalized shape language is used
