family	impact	exact_regrade	unchanged_content
Reciprocal kinematics	NONE	Retain derived determinant-one comparison and exponential channels	All exact reciprocal algebra
Physical reciprocal metric	PARTIAL	The displayed Omega=1 block may be a physical calibrated metric branch rather than a gauge representative	Readout slot angular and observer qualifications
C2/Bach action	MAJOR	Retain uniqueness theorem only inside an explicitly assumed local-Weyl metric-only class; withdraw any physical priority from CSN	Class algebra and Bach equations
EH action	MODERATE	No longer blocked merely for being post-scale if strong CSN is withdrawn; remains conditional on all EH/Lovelock premises	No action selection
Two-stage bridge	MAJOR	The representative-selection stage may be unnecessary; a C2-to-EH dynamics bridge remains unproved if both stages retained	Derivative-order non-equivalence
Bootstrap	MODERATE	May act directly on a physical metric rather than select a conformal section; still lacks operator mass source volume and closure equations	On-shell admissibility status
Observer separation	MODERATE	h0/q0 remain exact normalized constructions but are not physical rulers merely because they are conformally invariant	Causal-class and global-completion obstructions
CSN-dphi transport	MAJOR	Regrade genuine pre-scale physical connection to conditional conformal normalization family	All tensor and nonuniqueness algebra
Causal accessibility	LOW	Cone invariance remains; proper-time and proper-length equivalence is not inferred	Co-presence versus accessibility distinction
Angular shape and dual systole	LOW	Scale-normalized shape remains a useful intrinsic ratio; do not call omitted common factor unphysical	Integral lattice wall and module results
Conditional Hopf crosswalk	LOW	Topology and normalized connection survive; physical endpoint regularity dynamics and size still require the full metric	Conditional carrier and action stamps
WR-L/SNe	NONE	Retain exact local profile optical algebra and observed SNe score in its supplied representative	No cosmology action or mass promotion
Particle Hopfion	NONE	Retain finite-box carrier-stamped stability evidence	Carrier emergence unconditional mass and time-live persistence remain open
Global scale/Xmax	MODERATE	A physical metric can carry scale before Xmax is known; c_E and G_obs still cannot determine Xmax without native mass/closure	Xmax observer-diameter and formula remain open
Foundational-object audit	SHARPENED	Audit whether the physical variable is a calibrated reciprocal metric rather than a conformal class or whether a weaker structured quotient is derived	No new field or mechanism introduced
