id	path	status	load_bearing_statement	git_blob	sha256
A01	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	FINAL	C2/Bach is unique-conditional only in the registered pre-scale bulk class; EH is conditional post-scale; complete variation and finite-cell boundary remain open.	3751d7098b31bd10cfbd6539aa5a57754e4b43b1	71ed06c21c3ef683d0579f2a883584b4f612de4f1b09e16300702b204d437eda
A02	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	FINAL	S10, S23, and S24 remain OPEN; S11-S13 are unique-conditional bulk statements; S14 is conditional.	bc30820893a31b1458a1e086eabfef7dd3ed7959	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd
A03	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	HISTORICAL_CONDITIONAL_SELECTOR_AUDIT	The variation-before-scale versus representative-before-variation discriminator was missing; current use is controlled by the later premise registry.	7c59d775e473df5ea0b59ec0c20312ac7fccfbee	db4a426b021e375fa4bca0d870aaf973de319de3b08072195d001a056630832d
A04	native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_REPORT.md	FROZEN_ADVERSARIAL	Variation domains are inequivalent; total derivatives preserve bulk equations while shifting boundary momentum; both action routes lack finite-cell completion.	0cfbda1e6ec8ebbb928c3c974a919a3f5c4d8712	de865916f880284ee25467346d839d94215cbc0bfb2992814d200cbeec806b0a
A05	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_variation_domain.py	FROZEN_ALGEBRA	Tangent restriction can lose normal equations and cannot be replaced by a hand-imposed equation.	68e93b859414a32cc4daebf5e27553bfcae0aefa	084511961b6c69270278c64ae69f58942b044f106990e7071a5003f8535aee7e
A06	native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_boundary_charge.py	FROZEN_ALGEBRA	Bulk Euler invariance does not fix the boundary primitive, reference, or normalization.	640ba3ce85015a91a856d1be0dc01f6e910531f1	e29f017a354275b62d415961365583d165bffc9637303b1a3ae9feb17510184d
A07	udt_p4_boundary_action_gate_2026-07-30/AUDIT_REPORT.md	CONDITIONAL_P4	The P4 wall response is conditional; N4 and corners are typed but do not supply the missing equation.	a70eae46c13dcf6e735e7fe8109b06a47e5a26a5	0e2a7f7f6ea406c9634ae353ef6c2106c7d1f8623fae9b342e682a461b8eb047
A08	udt_p4_boundary_action_gate_2026-07-30/EXACT_DERIVATION.md	CONDITIONAL_P4	The boundary function is generic; selective content remains typed-open and is not a derived preferred boundary.	9963eebce454fc0f725bf75862785ceaba37670b	4ae2bc6ee6c3dd309c12a38a3ac8b840d5f6839da6a74c0e42a4c836d0c5cb9d
A09	udt_f01_lambda_schur_check_2026-08-01/AUDIT_REPORT.md	VERIFIED_F01	All four exact local domains have joint index one; the independently free second wall germ remains unowned.	d2f2f5f250e993395e163e8635e91e064ba6199b	be7e07d2db43081c28d13120cf6a17131026845b0290de04c4f4645919b8f5c1
A10	udt_f01_lambda_schur_check_2026-08-01/EXACT_DERIVATION.md	VERIFIED_F01	F01 fixes an exact conditional joint Hessian in p,f,h,lambda/mu and the R05/R06 plus Dirichlet/free-right forks.	c6b41a5f201225ba8f50bf217dae9f715fa34eed	c025481d44447003f2e1aac0c5c14ae7e57bdc055b379f347f79cc482a50ba8d
A11	udt_native_stability_configuration_space_audit_2026-08-01/AUDIT_REPORT.md	VERIFIED_NATIVE_ARENA	The complete metric/coframe supplies a typed off-shell arena but no selected realized variation law.	05bcfcc5887b9827ad5a69fec9e20fba96cc7dbe	657c68e73a374adb61da285f79135c39de4264c1ff31ca8b8bfabaee0bc10972
A12	udt_stability_derivation_closure_sweep_2026-08-01/AUDIT_REPORT.md	VERIFIED_CLOSURE_SWEEP	Jet<=2 data do not own the second germ; N4 is typed without an equation.	fc77c072456c80a562ec0afac1bc0fb11e58a8c8	2697530272ff6db9c3c18103301bdcc7295b34dd77f0839ee8645b0752020dfc
A13	PONDER_MATH_ELEGANCE_2026-07-31.md	WORKING_LEAD_ONLY	Global-local closure and taxonomy-times-stability are hypotheses to test, not affirmative action or boundary authority.	6f46b7760ef65c1e46190d0643fe83b174938dca	6d510c050f9c116e4c09e82f4edf6ac942bd64f95bb1476dc2196cae8e24c6b9
A14	CURRENT_SCIENTIFIC_PREMISES.tsv	CURRENT_PRECEDENCE	G04 makes strong local CSN inactive without explicit reauthorization; G10 makes C2/Bach inactive without that premise; G11 leaves EH conditional and unselected.	f923b077483c2d2ab5fde2697a6e63649d027dc6	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f
