corpus	token	occurrences	source_count	paths
ACTION_CORPUS	F01	0	0	
ACTION_CORPUS	R05	0	0	
ACTION_CORPUS	R06	0	0	
ACTION_CORPUS	second_wall_germ	0	0	
ACTION_CORPUS	Bach	806	21	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md;UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md;native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_CLAIM_MATRIX.tsv;native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_COUNTERMODEL_MATRIX.tsv;native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_REPORT.md;native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_SMUGGLE_LIST.tsv;native_action_arm_c_2026-07-18/ARM_C_RETURN/final_response.md;native_action_arm_c_2026-07-18/LAUNCH_PROMPT.txt;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_arm_c_2026-07-18/PRELAUNCH_NETWORK_FAILURE_TRANSCRIPT.txt;native_action_final_adjudication_2026-07-18/COUNTERMODEL_COMPLETENESS_FINAL.tsv;native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv;native_action_final_adjudication_2026-07-18/LAY_DECISION_TREE.md;native_action_final_adjudication_2026-07-18/MECHANICAL_AGREEMENT_DISAGREEMENT.tsv;native_action_stage1_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage1_2026-07-18/arm_A/cold_output/D0_D5.md;native_action_stage2_2026-07-18/arm_A/D6_RETURN/D6.md;native_action_stage2_2026-07-18/arm_A/D6_RETURN/D6_DISCLOSURE_CENSUS.tsv;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt
ACTION_CORPUS	EH_or_Einstein_Hilbert	2589	32	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md;UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md;native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_CLAIM_MATRIX.tsv;native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_COUNTERMODEL_MATRIX.tsv;native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_REPORT.md;native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_SMUGGLE_LIST.tsv;native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_boundary_charge.py;native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_mass_virial.py;native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_unique_action_weights.py;native_action_arm_c_2026-07-18/ARM_C_RETURN/cas_armc_unique_action_weights_out.txt;native_action_arm_c_2026-07-18/DRIVER_PROVENANCE_AND_AUDIT.md;native_action_arm_c_2026-07-18/LAUNCH_PROMPT.txt;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_arm_c_2026-07-18/PRELAUNCH_NETWORK_FAILURE_TRANSCRIPT.txt;native_action_final_adjudication_2026-07-18/ALGEBRA_RERUN_OUTPUTS/17_stage2_A_cas_stage2_mass_virial_out.txt;native_action_final_adjudication_2026-07-18/ALGEBRA_RERUN_OUTPUTS/23_arm_C_cas_armc_unique_action_weights_out.txt;native_action_final_adjudication_2026-07-18/COUNTERMODEL_COMPLETENESS_FINAL.tsv;native_action_final_adjudication_2026-07-18/DRIVER_PROVENANCE_AND_AUDIT.md;native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv;native_action_final_adjudication_2026-07-18/LAY_DECISION_TREE.md;native_action_final_adjudication_2026-07-18/MECHANICAL_AGREEMENT_DISAGREEMENT.tsv;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv;native_action_stage2_2026-07-18/arm_A/D6_RETURN/D6.md;native_action_stage2_2026-07-18/arm_A/D6_RETURN/D6_DISCLOSURE_CENSUS.tsv;native_action_stage2_2026-07-18/arm_A/D6_RETURN/cas_stage2_mass_virial.py;native_action_stage2_2026-07-18/arm_A/D6_RETURN/cas_stage2_mass_virial_out.txt;native_action_stage2_2026-07-18/arm_A/LAUNCH_PROMPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/D6_RETURN/D6.md;native_action_stage2_2026-07-18/arm_B/LAUNCH_PROMPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt
ACTION_CORPUS	p_f_h_lambda_tuple	0	0	
P4_F01_CORPUS	F01	33	19	udt_f01_lambda_schur_check_2026-08-01/AUDIT_REPORT.md;udt_f01_lambda_schur_check_2026-08-01/EXACT_DERIVATION.md;udt_f01_lambda_schur_check_2026-08-01/FREE_SCHUR_CERTIFICATE.json;udt_f01_lambda_schur_check_2026-08-01/INDEPENDENT_RESULT.json;udt_f01_lambda_schur_check_2026-08-01/INDEPENDENT_REVIEW.md;udt_f01_lambda_schur_check_2026-08-01/INDEPENDENT_VERIFIER.py;udt_f01_lambda_schur_check_2026-08-01/LAY_REPORT.md;udt_f01_lambda_schur_check_2026-08-01/NEGATIVE_WITNESS_CERTIFICATE.json;udt_f01_lambda_schur_check_2026-08-01/PREMISE_LEDGER.tsv;udt_f01_lambda_schur_check_2026-08-01/PREREGISTRATION.md;udt_f01_lambda_schur_check_2026-08-01/RESULT.json;udt_f01_lambda_schur_check_2026-08-01/STATUS_LEDGER.tsv;udt_f01_lambda_schur_check_2026-08-01/VERIFICATION_RESULT.json;udt_f01_lambda_schur_check_2026-08-01/build_package_manifest.py;udt_f01_lambda_schur_check_2026-08-01/certify_free_schur.py;udt_f01_lambda_schur_check_2026-08-01/certify_negative_witnesses.py;udt_f01_lambda_schur_check_2026-08-01/verify_f01_package.py;udt_f01_lambda_schur_check_2026-08-01/verify_package_manifest.py;udt_f01_lambda_schur_check_2026-08-01/verify_repository_gates.py
P4_F01_CORPUS	R05	57	16	udt_f01_lambda_schur_check_2026-08-01/AUDIT_REPORT.md;udt_f01_lambda_schur_check_2026-08-01/EXACT_DERIVATION.md;udt_f01_lambda_schur_check_2026-08-01/FREE_SCHUR_CERTIFICATE.json;udt_f01_lambda_schur_check_2026-08-01/INDEPENDENT_RESULT.json;udt_f01_lambda_schur_check_2026-08-01/INDEPENDENT_REVIEW.md;udt_f01_lambda_schur_check_2026-08-01/INDEPENDENT_VERIFIER.py;udt_f01_lambda_schur_check_2026-08-01/NEGATIVE_WITNESS_CERTIFICATE.json;udt_f01_lambda_schur_check_2026-08-01/PREREGISTRATION.md;udt_f01_lambda_schur_check_2026-08-01/RESULT.json;udt_f01_lambda_schur_check_2026-08-01/certify_free_schur.py;udt_f01_lambda_schur_check_2026-08-01/certify_negative_witnesses.py;udt_p4_stability_slice_2026-07-30/AUDIT_REPORT.md;udt_p4_stability_slice_2026-07-30/CORRECTION_LAYER.md;udt_p4_stability_slice_2026-07-30/DECISION_SURFACE_UPDATE.md;udt_p4_stability_slice_2026-07-30/STABILITY_LEDGER.tsv;udt_p4_stability_slice_2026-07-30/VERIFIER_REPORT.md
P4_F01_CORPUS	R06	52	12	udt_f01_lambda_schur_check_2026-08-01/AUDIT_REPORT.md;udt_f01_lambda_schur_check_2026-08-01/EXACT_DERIVATION.md;udt_f01_lambda_schur_check_2026-08-01/INDEPENDENT_RESULT.json;udt_f01_lambda_schur_check_2026-08-01/INDEPENDENT_REVIEW.md;udt_f01_lambda_schur_check_2026-08-01/INDEPENDENT_VERIFIER.py;udt_f01_lambda_schur_check_2026-08-01/NEGATIVE_WITNESS_CERTIFICATE.json;udt_f01_lambda_schur_check_2026-08-01/PREREGISTRATION.md;udt_f01_lambda_schur_check_2026-08-01/RESULT.json;udt_f01_lambda_schur_check_2026-08-01/certify_negative_witnesses.py;udt_p4_stability_slice_2026-07-30/CORRECTION_LAYER.md;udt_p4_stability_slice_2026-07-30/STABILITY_LEDGER.tsv;udt_p4_stability_slice_2026-07-30/VERIFIER_REPORT.md
