route	route_current_status	gate	status	reason
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	varied_object_and_field_identity	BLOCK	unrestricted metric variation is not identified with the conditional P4 fields
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	common_background_and_onshell_realization	BLOCK	no shared F01 background is constructed or proved Bach-on-shell
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	tangent_domain_and_gauge_quotient	BLOCK	reciprocal hard/multiplier/readout domains remain inequivalent
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	derivative_order_and_principal_symbol	CONDITIONAL_ANALOGY_ONLY	fourth-order bulk suggests v and v-prime boundary slots but supplies no P4 symbol map
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	boundary_polarization_and_differentiability	BLOCK	fourth-order finite-cell boundary and corner completion is open
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	boundary_functional_and_charge	BLOCK	primitive, reference, charge, and normalization are open
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	explicit_reduction_to_p_f_h_lambda	BLOCK	no explicit pullback or action reduction to p,f,h,lambda exists
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	preservation_of_R05_R06_trace_fork	BLOCK	no map carries either R05/R06 or Dirichlet/free-right domains
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	ownership_of_second_wall_germ	BLOCK	bulk derivative order does not determine the Hessian-active wall germ
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	scale_ordering_and_bootstrap_dependence	PASS_CONDITIONAL_PREMISE	route is defined before scale selection within its added class premises
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	carrier_and_source_independence	PASS_CONDITIONAL_PREMISE	metric-only route imports no carrier/source, but also supplies none
C2_BACH_PRE_SCALE	INACTIVE_WITHOUT_STRONG_CSN_PREMISE__COUNTERFACTUAL_ONLY	full_premise_stack_compatibility	BLOCK	complete native field/domain/boundary/solution premise stack is not closed
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	varied_object_and_field_identity	BLOCK	metric variation is not identified with conditional P4 fields
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	common_background_and_onshell_realization	BLOCK	no selected representative or shared F01 Einstein background is constructed
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	tangent_domain_and_gauge_quotient	BLOCK	unrestricted metric domain is an added premise and no P4 tangent pullback exists
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	derivative_order_and_principal_symbol	CONDITIONAL_ANALOGY_ONLY	second-order bulk suggests a v boundary slot but supplies no P4 symbol map
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	boundary_polarization_and_differentiability	BLOCK	GHY/corners/orientation and finite-cell admissible data are unselected
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	boundary_functional_and_charge	BLOCK	reference, generator, charge, and normalization are open
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	explicit_reduction_to_p_f_h_lambda	BLOCK	no explicit pullback or action reduction to p,f,h,lambda exists
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	preservation_of_R05_R06_trace_fork	BLOCK	no map carries either R05/R06 or Dirichlet/free-right domains
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	ownership_of_second_wall_germ	BLOCK	a second-order bulk does not determine the independent wall second germ
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	scale_ordering_and_bootstrap_dependence	BLOCK	the required physical representative/bootstrap selection is not derived
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	carrier_and_source_independence	PASS_CONDITIONAL_PREMISE	metric-only route imports no carrier/source, but also supplies none
EH_POST_SCALE	CONDITIONAL_NOT_SELECTED	full_premise_stack_compatibility	BLOCK	post-scale selection, constants, boundary, source, and solution are open
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	varied_object_and_field_identity	BLOCK	no composed field map from conformal class through representative to P4 is registered
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	common_background_and_onshell_realization	BLOCK	no dynamically matched background across stages exists
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	tangent_domain_and_gauge_quotient	BLOCK	no tangent/gauge matching theorem crosses the stage boundary
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	derivative_order_and_principal_symbol	BLOCK	no rule reconciles the fourth-order and second-order degrees of freedom
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	boundary_polarization_and_differentiability	BLOCK	no matched boundary polarization is registered
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	boundary_functional_and_charge	BLOCK	no common differentiable boundary functional or charge is registered
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	explicit_reduction_to_p_f_h_lambda	BLOCK	no explicit composed reduction to p,f,h,lambda exists
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	preservation_of_R05_R06_trace_fork	BLOCK	no composed map preserves the F01 trace-domain forks
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	ownership_of_second_wall_germ	BLOCK	no stage owns or matches the Hessian-active second wall germ
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	scale_ordering_and_bootstrap_dependence	BLOCK	bootstrap representative selection and stage ordering remain open
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	carrier_and_source_independence	BLOCK	carrier/source independence across both stages is unproved
TWO_STAGE_BRIDGE	OPEN_UNDERIVED	full_premise_stack_compatibility	BLOCK	the bridge is a proposed diagram rather than a completed premise stack
