item	status	role	forbidden_promotion
c_E	OBSERVED_CONTROL_UNIT	clock-ruler calibration only	local signal law or history selector
completed_pair_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	normalization after full pullback	bare-metric unconditional theorem
complete_coframe	CHOSE_MATHEMATICAL_CONTROL	analytic nonconformally-flat time-live mixing witness	physical cosmology
H_mu	FREE_AND_EXPLORED_SYMBOLIC	positive control parameters	observational fit or physical constants
pair_surface_orientation	CHOSE_QUERY	completed pair and outgoing germ	universal observer population
affine_ray	TO_BE_DERIVED_CONDITIONALLY	metric IVP on regular branch	unique global route or signalling law
frequency	TO_BE_DERIVED_CONDITIONALLY	endpoint clock contraction	native luminosity or universal completed depth
matrix_screen	TO_BE_DERIVED_CONDITIONALLY	full G188 response on same ray	scalar angular correction
radiative_transfer	OMITTED	outside G191	native UDT result
P1_G116_G189_Xmax	OMITTED	regression controls or later consequence	construction inputs
