source_id	path	git_blob	size_bytes	sha256	read_from
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	ed1de6dd9025b2709ee5127166288fa07411df2e	5277	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf	FIXED_GIT_BASE_BLOB
S02	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	98d15cf3060d34d238b8528bfaa8a0cab81e7493	6108	36e22610ec03dc4421e005f0a327be288cde000fb5fa63f4d8ea9cec3711875d	FIXED_GIT_BASE_BLOB
S03	udt_complete_physical_comparison_map_audit_2026-07-27/EXACT_DERIVATION.md	240d65b76fde756d902b95bde43a8c5dd8784450	7497	13a450f1299f9f2ecb2c65118a661a5fc24eb4bb87c8ba4ab30de7feaed6b1f7	FIXED_GIT_BASE_BLOB
S04	udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	e8f39081b60f02879693b89c66d27af9160e4547	5219	f5b048e1e3055e91933293037f9f3755068d4400ac01bd61ae19e008ebf9a730	FIXED_GIT_BASE_BLOB
S05	udt_founding_reciprocity_object_audit_2026-07-27/EXACT_DERIVATION.md	d2fbefcae7fc9f0a4447ab563150050028f5737f	5769	1a80fc5de65c5739d6be523d9d41a32194d9be2dfbcb7eda048fbf12431f4d99	FIXED_GIT_BASE_BLOB
S06	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/EXACT_DERIVATION.md	87c65b8ae7de2ff8928882970d5662adfc158d57	4912	8e3de52c571b953ca878c6459235ff1487fb4d16029a33e7cb279cead980170b	FIXED_GIT_BASE_BLOB
S07	udt_joint_selector_provenance_audit_2026-07-28/AUDIT_REPORT.md	e386ff9af7c41d7bcc5a228fa7faf192b6685722	7813	2bf4dabd1f27c6c3399090c0a058fdf5addbe0aaec05b07a78348d5fad81b01d	FIXED_GIT_BASE_BLOB
S08	udt_joint_selector_provenance_audit_2026-07-28/JOINT_CANDIDATE_LEDGER.tsv	a66d47a5967f5545dad8907827f41e0b1f0bca93	6120	6061259bba3d924182c7a27d9140e887fd949b7fee2afb98e56366c4463b9bb1	FIXED_GIT_BASE_BLOB
S09	udt_joint_selector_provenance_audit_2026-07-28/JOINT_GATE_MATRIX.tsv	fb17033b9b84ffb536619c3c1d6ddd1981758477	2076	742bd1cb9edc002c721296a72bdd9fd8434704917e0e88867cab87b74f6e83b8	FIXED_GIT_BASE_BLOB
S10	udt_joint_selector_provenance_audit_2026-07-28/PARTIAL_DEPENDENCY_GRAPH.tsv	053b6595a92b6580e5ab727c720b05b9c7086be1	1095	9814611e7d1d86701b6a0b796a3636dffa5c8f55fca42e7f893f71ba4e24f59a	FIXED_GIT_BASE_BLOB
S11	udt_metric_natural_complete_extension_selector_audit_2026-07-27/EXACT_DERIVATION.md	8a2401844b87a86b410d5a0dc6334ed6733b274b	8755	15341969195924fa578a9c3a83f56c8270c093c03622f7ee233de51358b5b2d3	FIXED_GIT_BASE_BLOB
S12	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/EXACT_DERIVATION.md	25489d8b3300073946eb97635a4fb6470de13220	6302	3a81c5c5b6c23218d9bfe26135c6b8225e0e41235aac712dfbdae5b53b4006fe	FIXED_GIT_BASE_BLOB
S13	udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/EXACT_DERIVATION.md	e1e73d351a0420c102a997e44ff83bca420387a9	5518	7e9573e5428bb2d35145adee2ee2113a67409419f0099bed8c368d8a79490dd6	FIXED_GIT_BASE_BLOB
