premise	stamp	role	forbidden_promotion
founded_phi	DERIVED_ADDITIVE_LOG_DEPTH_OF_RECIPROCAL_PAIR	one-dimensional reciprocal character	physical base assignment not inferred
reciprocal_pair_action	DERIVED	generator restriction minus/plus one	complete lift not inferred
observer_frame_reciprocity	DERIVED_FOUNDING_RELATION	naturality and query covariance	preferred observer not introduced
complete_metric_coframe_class	FREE_AND_EXPLORED	universal category	one control not selected as universe
observer_queries	FREE_AND_EXPLORED_I1	law arguments	queries not called preferred frame
observer_line	SUPPLIED_I2_OR_METRIC_DERIVED_ONLY_WITH_PROOF	reduced structure	input not called output
ordered_ruler_line	SUPPLIED_I3_OR_METRIC_DERIVED_ONLY_WITH_PROOF	reduced structure	input not called output
path_depth_complete_frames	SUPPLIED_I4	conditional groupoid control	conditional construction not called universal
lambda_mixing	FREE_AND_EXPLORED	full-frame response	trace isotropy or spectator response not assumed
stationarity	CHOSE_BOUNDED_CONTROL	positive Killing-norm depth	not universal or on shell
R_x_S3	CHOSE_COUNTERFAMILY_DOMAIN	complete lambda control	not selected topology
strong_local_CSN	INACTIVE_CHALLENGED_NOT_DERIVED	excluded	no determinant or trace selector
c_E_G_obs	OBSERVED_ANCHORS	calibration only	no representation reduction
co_presence_bootstrap	WORKING_INTERPRETATIONS	authority boundary	no operation inferred from wording
action_source_carrier_boundary_density_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL_EXCLUDED	outside theorem	cannot repair kinematic obstruction
