object	status	exact_scope	remaining_open
full_Lorentz_real_character	DERIVED_TRIVIAL_ONLY	continuous connected frame comparison	base-dependent or reduced groupoid cocycle
noncollinear_angular_component	DERIVED_REQUIRED	boost commutator spans rotation	global physical angular readout
pointwise_metric_only_reciprocal_generator	NO_GO_FULL_ISOTROPY	continuous single-valued natural endomorphism on unrestricted pointwise metric class	higher-jet bilocal nonlocal reduced or set-valued construction
observer_query_law	ALLOWED_NOT_SELECTED	covariant law on all observer queries	physical semantics depth and path
observer_line_extension	UNIQUE_CONDITIONAL_LAMBDA_PLUS_ONE	SO3 reduction with founded spatial eigenaction	metric derivation of congruence depth and global descent
ruler_line_extension	UNIQUE_CONDITIONAL_LAMBDA_MINUS_ONE	SO+(1,2) reduction with founded clock eigenaction	metric derivation of ruler clock and global descent
ordered_pair_extension	DERIVED_REAL_LAMBDA_FAMILY	SO2 screen stabilizer	lambda signed depth finite physical section and descent
stationary_Killing_depth	DERIVED_BOUNDED	intrinsic stationary line norm ratio	arbitrary observers and selected branch
reducible_comparison_groupoid	EXACT_GIVEN_INPUTS	reciprocal cocycle plus Lorentz coframe transport	physical arrows path semantics and native cocycle
full_holonomy_endpoint_lift	OBSTRUCTED_ON_REGISTERED_CONTROL	centralizer dimension less than six for all tested lambda strata	reduced holonomy or path-labelled completion
comparison_versus_realization_ownership	OPEN_SHARPENED	frame composition cannot select transverse metric response	whether lambda belongs in kinematics or whole-metric realization
universal_whole_solution_selector_no_go	NOT_ESTABLISHED_NO_GO_PREMISES_INSUFFICIENT	higher-jet nonlocal base and set-valued routes unclassified	explicit operation or stronger theorem premises
founded_phi	DERIVED_UNCHANGED	additive reciprocal channel	physical base/path assignment and realized profile
action_source_carrier_boundary_density_Xmax_mass_dynamics	OPEN_OR_CONDITIONAL_UNCHANGED	excluded	complete physics
overall	NO_GO_PREMISES_INSUFFICIENT_STOP_WITH_EXACT_PARTIAL_NO_GO	I0-I4 symmetry and cocycle audit	comparison-versus-realization ownership audit recommended
