claim	status	scope	qualification
initial five-class dependency census	DEPENDENCY_CENSUS_TYPE_FAILURE	first preregistered G162 run	D15 exposed missing representative gauge type; preserved before repair
first repaired six-class dependency census	FAILED_FRESH_REVIEW	first repair follow-up	wrong scale typing incomplete inventory ill-typed catch and missing reverse proof
second repaired dependency census	VERIFIED_WITH_CAVEATS	second repair follow-up	fresh adversarial PASS and repository gates PASS; bounded scope remains
general compatible carry factors as R_B^-1 Lambda R_A	DERIVED	regular oriented future-clock pair metrics	Lambda is supplied route/frame data
canonical endpoint calibration carry R_B^-1 R_A	DERIVED	positive triangular endpoint roots	exact and composable; not physical overlap/path carry
complete coframe score components	REPRESENTATIVE_GAUGE_DATA	supplied coframe chart	not quotient observable path channel or tangent Lambda
pair volume and half-density coefficients	DERIVED	regular supplied pair metric	sqrt(-det h)=TL; fourth root equals sqrt(TL)
joined sigma and raw carry determinant grading	DERIVED	regular compatible carries	joined sigma is zero; raw half-log-det-M equals kappa_A-kappa_B
bounded scalar reciprocal kernel is Lambda-invariant	DERIVED	frozen 22-object census and exact first jets	does not select metric-history values
joined C and Gamma retain Lambda	DERIVED_CONDITIONAL	supplied compatible live carry	does not derive the carry
normal holonomy Jacobi ambient and extrinsic channels are separate	DERIVED_TYPE_CLASSIFICATION	frozen source scope	not collapsed into tangent Lambda
rapidity selection is a scalar-kernel gate	RETIRED	bounded scalar reciprocal kernel	reopen only for an owned Lambda-sensitive scalar claim
physical history query path and carry	OPEN	complete UDT	endpoint calibration is insufficient
X_max value and global completion	OPEN	working foundational frame	unchanged by G162
