source_id	path	bytes	sha256
S01	udt_uncompressed_pair_kernel_reconstruction_2026-08-14/EXACT_DERIVATION.md	11408	ea15d0f0dc344c566309a7f95cff4b0efc5d182f58858de5b0076857b746d64d
S02	udt_g135_projective_pair_separation_constitution_audit_2026-08-17/EXACT_DERIVATION.md	10485	cad656bf9ee305faa0dde382af79f95a74c222c141b9c26a53fa3b49c3c37457
S03	udt_g151_pair_chord_generalized_deviation_join_2026-08-17/EXACT_DERIVATION.md	6153	1d019abce583b5a9d410e04dcffd5a9913cb10ebf3174e72f98317e157074bd4
S04	udt_g153_relational_position_ruler_differential_join_2026-08-17/EXACT_DERIVATION.md	5251	00ab05207d43599eb0e3e2eaed63a8a35b671e9fbb063be028be34b625c8f4cc
S05	udt_g154_shared_xmax_asymptotic_response_classification_2026-08-18/EXACT_DERIVATION.md	8183	f5d377fd02115a836b60692b9b2a8ac8eb5ffa3c7e2bb0fdcf74696018de6f2a
S06	udt_g156_three_observer_scale_carry_audit_2026-08-18/EXACT_DERIVATION.md	6446	b1463e17f1ae796539f493448402cd038fb67bc3a7cc4953b5b6fd860a60e328
S07	udt_g157_regime_dependent_channel_balance_regrading_2026-08-18/EXACT_DERIVATION.md	6406	cd7ab9444d897e12f68c12f2aac005c50853ece1b850c51c0916b373aa633fb2
S08	udt_g158_complete_coframe_semidirect_score_audit_2026-08-18/EXACT_DERIVATION.md	8153	a0c2da27305d929f31629ebbbcc5dffdfad56bf93deeb22fb3b7a9516a37582a
S09	udt_g159_complete_score_terminal_descent_2026-08-18/EXACT_DERIVATION.md	6594	b22fc2894c4468d71195daba6540b41aa79a6e033a036ba30175fe1958d5c2a1
S10	udt_g160_three_observer_timelive_first_jet_carry_2026-08-18/EXACT_DERIVATION.md	7725	120ad8aa39a1f2dd805c208ce61e792640cd15d3932d6adb5c47a62bc10c4601
S11	udt_g161_pair_carry_lorentz_quotient_screen_resolution_2026-08-18/EXACT_DERIVATION.md	8158	9f9f7a1da1459dac6a05f32e6f686b9e02c2ad1ba39252c571a51a54cfec12b0
S12	udt_common_query_pair_immersion_reconstruction_2026-08-11/EXACT_DERIVATION.md	6069	bc96d6889075ede38271a4d63d3c021f7df0952b27f7e831c0d7161b97f737da
S13	udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/EXACT_DERIVATION.md	11963	78a044ee9e1f0df4f5e0673c3b8867984cd8f11070780f728f1056d204311ec6
