role	sha256	path
premise	4eb7d0a1130dcff997bc5180f420b633e2dcbbb5072d098997ba3672b38d8ab5	startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md
premise	ebeae075307e7a325a840f4c2d9dcd973c18d9a3be21e6e6eccacce1ae8856f1	startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md
method	4eb48002d2424e9745d92fcbf734213dec81a912343057d76775961f93b6b378	udt_g303_two_class_nonlinear_cauchy_data_classification_2026-08-30/EXACT_DERIVATION.md
method	ab440d575124654f3707eb04a7c2e4877e7ad3bf830eb1ed25c19d999149f9db	udt_g315_conditional_cauchy_characteristic_data_interface_2026-09-01/AUDIT_REPORT.md
conditional_unpromoted	2af7b57e9323c895ffe98b4777aadd37721cd650bffd684954b85b1441e29e9d	udt_nonlinear_mode_realizability_campaign_2026-09-09/step_02/INITIAL_CANDIDATE.md
controlling_review	ea2a9d53f6e72605c41a0667fcc605b7ae728138786af081816bd79b243de05d	udt_nonlinear_mode_realizability_campaign_2026-09-09/step_02/REVIEWED_RESULT.md
controlling_review	9e722b8874593ec0b82f7862d5a3af0f371e26a5798f8fc1d49db453b757acfc	udt_nonlinear_mode_realizability_campaign_2026-09-09/step_02/review/ADVERSARIAL_REVIEW.md
conditional_unpromoted	22ea9426f13c0aef12550248a5d4cb5ff3a5855f6e5804f1b57f965d052fea78	udt_localized_evolution_followup_2026-09-09/CANDIDATE.md
controlling_review	3d5beefd062a4d32754e96be4be7b5fd2e384fbb33c0c240d758fbb9eba77f32	udt_localized_evolution_followup_2026-09-09/review/DIRECT_REVIEW.md
control_unchanged	bee5059ab5528282420c5cd833d0aadfd4946d64820ba0c7bde1c1a98e09e165	CURRENT_SCIENTIFIC_PREMISES.tsv
control_unchanged	3d68a46148a2d2b5bbb9c32c071d4915e58bf29391a32f6328153743f786d9f7	CURRENT_SCIENTIFIC_PREMISES.md
control_unchanged	047b7fbbc1acacf01d2716e3c98cdefd0b9b20136ac4a3306f55dd6775465250	CANON.md
fixed_unchanged	3b625d8f43620a37c99d9f4f0fdc9390c3a12306b1da87281c143ce84d40a81e	UDT_METRIC_KERNEL_DEVELOPMENT.md
fixed_unchanged	b9a8d84d58b60dd6381af6512d89a63c8fa26750f0068e444dd039d329e74bc4	UDT_METRIC_KERNEL_COVERAGE.tsv
method_unchanged	75e772e31332c1c3ac536a6b465201aee6a507b3ba705b59177598fdac2c31ac	AGENTS.md
method_unchanged	b7e524a5b06760e57877a408630228767ae9a394134095f9851bef5d06e17751	CLAUDE.md
gate_unchanged	f5fe7eceb27311649ae9fd3f03f8e0d214dc40dbc1994263c212ad4d37f9967b	verify_current_scientific_premises.py
gate_unchanged	adf38a1ccf7841961f8e7cb7e0022ecc2ceb0c4451afefd56705388f6b7b3c3c	tests/test_startup_surface.py
capture_method	8ff5469ace76bdfc84188915242abbf3baff35516f9ee3f9ba4b1cbfeb2573ef	udt_shared_readout_metric_constraint_campaign_2026-09-06/run_capture.py
