anchor_id	path	sha256	first_commit	first_date	last_commit	last_date	role	ruling
A01	udt_p4_stability_slice_2026-07-30/AUDIT_REPORT.md	fd68aa8b1c1858358317e07d9415cb44792f2339938c1bd7d3ac8b74fecc9ae9	cc8b87216a0ebe71cd70b605b29a643a92985f6e	2026-07-31T02:00:27-04:00	cc8b87216a0ebe71cd70b605b29a643a92985f6e	2026-07-31T02:00:27-04:00	P4 parent response/census	S-i S-ii controls and empty scopes share one conditional P4 program
A02	udt_p4_stability_slice_2026-07-30/STABILITY_LEDGER.tsv	24daf5e06c789b5e27dad11416eb9d9cd95fe22bc8c971d86d1688fbb317f3f6	cc8b87216a0ebe71cd70b605b29a643a92985f6e	2026-07-31T02:00:27-04:00	cc8b87216a0ebe71cd70b605b29a643a92985f6e	2026-07-31T02:00:27-04:00	P4 mechanical branches	F01 F02 F03 and F06 roles are rows/strata of one package
A03	udt_p4_stability_slice_2026-07-30/EXACT_DERIVATION.md	e1d1391dc3923aa6bfc1512df5c437fc9415f180c90d1f2e76861e91475f201e	cc8b87216a0ebe71cd70b605b29a643a92985f6e	2026-07-31T02:00:27-04:00	cc8b87216a0ebe71cd70b605b29a643a92985f6e	2026-07-31T02:00:27-04:00	P4 fields domains and operators	conditional stationary response and tangent scopes
A04	udt_p4_period_gate_2026-07-30/AUDIT_REPORT.md	f977814725c0333c954c9ed24b72b802cc8891924f073deb05edf62a45b3a4d7	807ad0d75ab46f4f406e3a07434eca4ab67b34f0	2026-07-30T22:35:37-04:00	807ad0d75ab46f4f406e3a07434eca4ab67b34f0	2026-07-30T22:35:37-04:00	completion/period structure	rings constrain P4 branches but supply no stability response
A05	udt_p4_period_gate_2026-07-30/PERIOD_LEDGER.tsv	0eb8866602abbbd04a3e2c4d2b20a6cc5d125dcaa101e0b051016f71542735b7	807ad0d75ab46f4f406e3a07434eca4ab67b34f0	2026-07-30T22:35:37-04:00	807ad0d75ab46f4f406e3a07434eca4ab67b34f0	2026-07-30T22:35:37-04:00	completion branch matrix	cyclic acyclic quotient mass and germ rows
A06	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	2934c5378fdffd239f86dc270184c3190c41b881	2026-07-19T11:40:27-04:00	2934c5378fdffd239f86dc270184c3190c41b881	2026-07-19T11:40:27-04:00	Hopfion object identity	full 3D conditional S2 L2+L4 finite-box object
A07	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4	2934c5378fdffd239f86dc270184c3190c41b881	2026-07-19T11:40:27-04:00	2934c5378fdffd239f86dc270184c3190c41b881	2026-07-19T11:40:27-04:00	Hopfion status mechanics	carrier physical boundary and time remain open
A08	udt_stability_foundations_audit_2026-08-01/AUDIT_REPORT.md	65e13b80f7cae12e7bf0553c257d1f22fa4b80463198a88eebe653596a9e83d4	089e2044be1b2e801f9b4f07e83efb5296dc1375	2026-08-01T12:12:55-04:00	089e2044be1b2e801f9b4f07e83efb5296dc1375	2026-08-01T12:12:55-04:00	stability ontology separation	P4 and Hopfion are distinct conditional streams
A09	udt_stability_foundations_audit_2026-08-01/FIXED_REALIZATION_GATE.tsv	5dd531aea0adfb78aab84b246441513825ac07d81a6c7e0ee730f580f2ddbde9	089e2044be1b2e801f9b4f07e83efb5296dc1375	2026-08-01T12:12:55-04:00	089e2044be1b2e801f9b4f07e83efb5296dc1375	2026-08-01T12:12:55-04:00	realization gates	formal modules do not supply one realized object
A10	udt_joint_realization_closure_audit_2026-08-01/AUDIT_REPORT.md	9fa6113a0546c4ac8a36cb19d5352a9dfe8f67bb3b90df7574b88e08727a20e4	686336343878e8a9e39a4b72df08d23754243631	2026-08-01T12:45:50-04:00	686336343878e8a9e39a4b72df08d23754243631	2026-08-01T12:45:50-04:00	joint-realization ruling	formal P4 modules remain unrealized jointly
A11	udt_joint_realization_closure_audit_2026-08-01/JOINT_GATE_MATRIX.tsv	20c514dc02d62d1bc6b6a06df4033f0929cf76fd3a148cfc1603ec5b09c8cca7	686336343878e8a9e39a4b72df08d23754243631	2026-08-01T12:45:50-04:00	686336343878e8a9e39a4b72df08d23754243631	2026-08-01T12:45:50-04:00	joint gate mechanics	field equation boundary tangent and common premise gates
A12	udt_stability_hypothesis_cross_family_atlas_2026-08-01/FAMILY_ATLAS.tsv	9dbab505e50d814d6ee6d318c9fcb40f8260b93e55e8efb371e562e39798ad5b	d84fbf9c8686eca4479ec9977cfcef9023f8ce0f	2026-08-01T15:02:07-04:00	d84fbf9c8686eca4479ec9977cfcef9023f8ce0f	2026-08-01T15:02:07-04:00	inherited operational labels	seven evidence categories to be re-audited
