pair_id	left_family	right_family	axis_id	axis	comparison_status	finding	source_basis
P02	F01	F02	A01	FIELD_CONFIGURATION_IDENTITY	FORMAL_CONFIGURATION_EMBEDDING	one registered domain or module embeds into the other only at the formal configuration level	A16-A17
P02	F01	F02	A02	GOVERNING_EQUATION_RESPONSE	RESPONSE_RELATION_INCOMPLETE	pullback/restriction data do not prove equality of on-shell responses	A16-A17
P02	F01	F02	A03	DOMAIN_CHART_COMPLETION	DOMAIN_MAP_PARTIAL	an exact domain/module map exists without a common realized global solution set	A16-A17
P02	F01	F02	A04	BOUNDARY_POSTURE	BOUNDARY_JOIN_UNPROVED	no common physical boundary completion follows from the embedding	A16-A17
P02	F01	F02	A05	TANGENT_VARIATION_DOMAIN	TANGENT_JOIN_UNPROVED	the embedding does not identify full stability tangent spaces	A16-A17
P02	F01	F02	A06	CARRIER_TOPOLOGY	NO_CARRIER_COMPLETION	no carrier/topology identity follows	A16-A17
P02	F01	F02	A07	DYNAMICAL_CHARACTER	NO_DYNAMICAL_IDENTITY	formal correspondence does not establish time persistence	A16-A17
P02	F01	F02	A08	PREMISE_STACK	PREMISE_STACK_NOT_IDENTIFIED	conditional premises remain branch-specific	A16-A17
P02	F01	F02	A09	SOURCE_COMMIT_LINEAGE	SOURCE_DERIVED_FORMAL_MAP	the named source derives a formal pullback or module embedding	A16-A17
P02	F01	F02	A10	EXACT_RELATIONS	NO_SOLUTION_SET_RELATION	the exact relation stops before equality, inclusion, or overlap of realized solution sets	A16-A17
P03	F01	F03	A01	FIELD_CONFIGURATION_IDENTITY	COMPONENT_LEVEL_ANALOGY	one component calibrates or resembles the other label without a whole-label set relation	A01-A03;A16-A17
P03	F01	F03	A02	GOVERNING_EQUATION_RESPONSE	RESPONSE_CONTROL_ANALOGY	response forms are compared only under branch-specific conditional premises	A01-A03;A16-A17
P03	F01	F03	A03	DOMAIN_CHART_COMPLETION	NO_WHOLE_DOMAIN_MAP	union-valued and candidate labels lack a common exact domain map	A01-A03;A16-A17
P03	F01	F03	A04	BOUNDARY_POSTURE	BRANCH_SPECIFIC_BOUNDARY	boundary/posture comparisons do not lift to the whole labels	A01-A03;A16-A17
