pair_id	left_family	right_family	relation	finding	source_basis
P01	F01	F01	SELF	identity relation only	A01-A03;A16-A17
P02	F01	F02	FORMAL_EMBEDDING_ONLY	constant sections embed in the field domain and the constant one-form is its pullback; the stationarity conditions and solution-set relation remain open	A16-A17
P03	F01	F03	CONDITIONAL_ANALOGY_ONLY	one F03 control component calibrates the constants-census response, but F03 is a union and is not contained in F01	A01-A03;A16-A17
P04	F01	F04	NO_DERIVED_RELATION	P4 and conditional Hopfion field spaces/functionals have no owned map	A06-A11
P05	F01	F05	STRUCTURAL_CONSTRAINT_ON	completion and period classes constrain S-i branches	A01-A05
P06	F01	F06	NO_DERIVED_RELATION	a double-crease component is linked to F01, but the union-valued F06 label has no whole-label containment relation	A01-A05;A18
P07	F01	F07	NO_DERIVED_RELATION	the frozen joint-realization closure rows do not establish an F01-to-F07 embedding	A08-A13
P08	F02	F02	SELF	identity relation only	A01-A03;A16-A17
P09	F02	F03	CONDITIONAL_ANALOGY_ONLY	the triad control component calibrates a fields-census response, but F03 is a union and is not contained in F02	A01-A03;A16-A17
P10	F02	F04	NO_DERIVED_RELATION	P4 and conditional Hopfion field spaces/functionals have no owned map	A06-A11
P11	F02	F05	STRUCTURAL_CONSTRAINT_ON	completion and period classes constrain S-ii branches	A01-A05
P12	F02	F06	NO_DERIVED_RELATION	a massive cyclic component is linked to P4 completion, but the union-valued F06 label has no whole-label containment relation	A01-A05;A18
P13	F02	F07	FORMAL_EMBEDDING_ONLY	S-ii supplies one formal sector but not the joint realized F07 object	A08-A13
P14	F03	F03	SELF	identity relation only	A01-A03;A16-A17
P15	F03	F04	NO_DERIVED_RELATION	no field-space or operator map is derived	A06-A11
P16	F03	F05	NO_DERIVED_RELATION	massless constants occur in both records but no whole-label configuration or response map is derived	A01-A05
P17	F03	F06	DISJOINT_BY_FIELDS_OR_PREMISES	F03 is massless control evidence while F06 records massive empty scopes	A01-A05
P18	F03	F07	NO_DERIVED_RELATION	controls diagnose missing joins but the frozen record proves no F03-to-F07 embedding	A08-A13
P19	F04	F04	SELF	identity relation only	A06-A08;A14-A15
P20	F04	F05	NO_DERIVED_RELATION	P4 completion taxonomy is not derived for the Hopfion model	A04-A08
P21	F04	F06	NO_DERIVED_RELATION	P4 empty scopes do not exclude or contain the conditional Hopfion model	A01-A08
P22	F04	F07	NO_DERIVED_RELATION	architectural resemblance supplies no common realized field or map	A06-A11
P23	F05	F05	SELF	identity relation only	A04-A05;A13
P24	F05	F06	STRUCTURAL_CONSTRAINT_ON	period/closure conditions generate the exact empty subscopes	A01-A05
P25	F05	F07	NO_DERIVED_RELATION	completion taxonomy does not close the formal joint realization	A04-A13
P26	F06	F06	SELF	identity relation only	A01-A05;A18
P27	F06	F07	NO_DERIVED_RELATION	scoped P4 emptiness neither realizes nor globally excludes the formal modules	A01-A13
P28	F07	F07	SELF	identity relation only	A08-A11;A13
