premise_id	scope	premise	status	audit_effect	source_basis
L01	F01;F02;F03;F05;F06;F07	P4 conditional response/evidence program	CONDITIONAL	does not supply a complete native matter solution universe	A01-A05;A08-A11;A15-A17
L02	F01	BASE constants census with seven constant moduli directions	CARRIED_FORK_NOT_SELECTED	integrated moduli rows define F01's conditional domain	A16-A17
L03	F02	BR-M fields census with live moduli directions	CARRIED_FORK_NOT_SELECTED	pointwise rows define F02's conditional domain	A16-A17
L04	F01;F02	constants-versus-fields census fork	OPEN_DOMAIN_DEFINITION_CHOICE	forbids a common parent-solution-set or physical-family claim	A16-A17
L05	F01;F02	pairing family P1-4D P1-triad P2 with symbolic a_F	CARRIED_NOT_ADOPTED	pairing-specific response statements cannot be generalized	A01-A03;A16
L06	F01;F02;F03;F06	posture census open crease glue cyclic quotient acyclic	CARRIED_NOT_SELECTED	completion and negative claims remain posture-scoped	A01-A05
L07	F01;F02	depth mirror parity canonical and f/bh/moduli parities	MIXED_DERIVED_AND_SUPPLIED	positive/negative stability branches retain exact parity stamps	A01-A03;A16
L08	F01	wall first germs pinned or forced while second and higher germs are free	BOUNDED_OPEN	prevents full F01 Hessian/stability certification	A01-A03;A13
L09	F01;F02	jet order at most two with N4 typed not run	BOUNDED_SCOPE	all P4 stability statements stop at the registered layer	A01-A03;A13
L10	F01	ell equals one normalization and g_p positive scale normalization on certified branch	CHOSE_SIGN_INVARIANT_SCOPE	certified branch verdict is not an all-scale theorem	A03
L11	F01	germ-Hessian-flat realized wall responses for trace-active verdicts	CONDITIONAL_WITNESS_RESPONSE	free second-germ curvature remains unowned	A01-A03;A13
L12	F02	P1-4D landing p=0 lambda=0 with affine angular fields	CONDITIONAL_LANDING	F02 result is not a complete joint realized universe	A01-A03;A17
L13	F02	AM-1 AM-2 p0==0 and moduli-jet subclasses	CONDITIONALITIES_TRAVEL	field-census response is registered/typed but not exhausted	A03;A17
L14	F02	positive jet stiffness c_m and sector parameters E0 ell g_p	FREE_CONDITIONAL_PARAMETERS	the stability threshold is continuous and sector-scoped	A01-A03
L15	F03	E0=0 constants control and triad-locked control are grouped	OPERATIONAL_UNION	component controls do not imply whole-label containment	A01-A03
L16	F05	real period and cyclic/acyclic/quotient completion laws	DERIVED_STRUCTURAL_SCOPED	classifies completion but supplies no stability response	A04-A05;A13
L17	F06	massive cyclic single-cell N1 scope	EXACT_EMPTY_SCOPED	negative reopens if mass or completion premise changes	A01-A05;A18
L18	F06	massive double-crease wall-trace scope	EXACT_EMPTY_SCOPED	separate negative component cannot be merged into a whole-label subset theorem	A01-A05;A18
L19	F07	static time-live and angular-live restriction modules	FORMAL_EXACT_SEPARATELY	separate modules cannot be spliced into a field	A08-A11;A13
L20	F07	one common nonzero on-shell field and native whole equation	OPEN	blocks realized-family and stability claims	A08-A11;A13-A15
L21	F07	compatible differentiable boundary tangent domain and one premise stack	OPEN_OR_PARTIAL	blocks joint realization even when modules are separately nonempty	A08-A11;A13
L22	F04	round S2 carrier	POSIT	conditions the Hopfion object; cannot establish native family ontology	A06-A08;A14-A15
L23	F04	corrected no-null L2+L4 functional	CONDITIONAL	owns static response only and is not a native complete matter action	A06-A08;A14-A15
L24	F04	finite computational box and solver boundary	CHOSE_COMPUTATIONAL	does not select physical finite-cell completion	A06-A08;A13
L25	F04;F07;global	native physical time equation and perturbation domain	OPEN	no family has native time-persistence certification	A08-A15
L26	global	bootstrap membership and family selection	WORKING_OPEN	not used to define or promote any family	A08-A15
L27	global	complete native matter action source boundary and mass	OPEN	prevents a native exhaustive solution-family partition	A14-A15
L28	global	inherited F01-F07 labels	WORKING_OPERATIONAL	retained as stable evidence identifiers, not physical-family names	A12-A13
L29	negative regrades	historical negative registry premise continuity	AUDITED_NO_SILENT_TRANSPORT	current P4/Hopfion claims do not inherit older operator/carrier negatives without matching premises	A18
