catch_id	mutation	result	exercised
C01	missing_family	REJECTED	YES
C02	duplicate_family	REJECTED	YES
C03	census_fork_collapsed	REJECTED	YES
C04	F03_promoted_to_family	REJECTED	YES
C05	Hopfion_promoted_native	REJECTED	YES
C06	F05_promoted_to_family	REJECTED	YES
C07	F06_empty_promoted	REJECTED	YES
C08	F07_formal_promoted	REJECTED	YES
C09	missing_axis_cell	REJECTED	YES
C10	carrier_posit_lost	REJECTED	YES
C11	missing_pair	REJECTED	YES
C12	missing_pair_axis_cell	REJECTED	YES
C13	P4_Hopfion_join_invented	REJECTED	YES
C14	partition_gate_promoted	REJECTED	YES
C15	native_family_invented	REJECTED	YES
C16	conditional_streams_joined	REJECTED	YES
C17	physical_count_restored	REJECTED	YES
C18	readiness_promoted	REJECTED	YES
C19	native_time_promoted	REJECTED	YES
C20	result_promoted	REJECTED	YES
C21	native_family_count_promoted	REJECTED	YES
C22	gpu_run_hidden	REJECTED	YES
C23	authority_outside_freeze	REJECTED	YES
