catch_id	mutation	result	exercised
S01	raw_classification_disagrees	REJECTED	YES
S02	census_parent_identity_invented	REJECTED	YES
S03	F03_component_containment_promoted	REJECTED	YES
S04	F06_component_containment_promoted	REJECTED	YES
S05	unsupported_F01_F07_embedding	REJECTED	YES
S06	F05_F03_crosscut_restored	REJECTED	YES
S07	same_P4_lineage_called_distinct	REJECTED	YES
S08	missing_pair_axis	REJECTED	YES
S09	census_fork_selected	REJECTED	YES
S10	wall_germ_closed	REJECTED	YES
S11	carrier_promoted	REJECTED	YES
S12	time_promoted	REJECTED	YES
S13	missing_negative_crosswalk	REJECTED	YES
S14	native_family_promoted	REJECTED	YES
