claim_id	object	status	scope	statement
R01	full_RxT2_orbit_Gram	DERIVED	stationary_descended_block_screen	det_G3=-b*c_E^2_and_inertia_is_Lorentzian
R02	full_Gram_response	DERIVED	arbitrary_first_jets_chi_df_db	variable_connection_moment_mixes_registered_plane
R03	generic_plane_scan	DERIVED	independent_open_first_jet_stratum	only_span_KV_has_identically_constant_reciprocal_area
R04	generic_clock_response	DERIVED	independent_open_first_jet_stratum_with_nonconstant_phi	K_is_only_constant_Killing_line_with_founded_clock_norm_response
R05	S3_toric_topology	DERIVED	smooth_unimodular_two_cap_T2_completion	exactly_two_unoriented_primitive_free_circle_lines
R06	nonconstant_depth_double_plane_control	DERIVED_EXISTENCE	alpha_zero_conformally_round_spatial_toric_S3	Hopf_and_anti_Hopf_planes_both_have_exact_founded_reciprocal_Gram_form
R07	universal_plane_selection	REFUTED_BOUNDED	admitted_stationary_higher_isometry_family	smooth_nonconstant_depth_and_round_controls_retain_multiple_planes
R08	generic_plane_selection	DERIVED_WITH_EXCEPTIONAL_LOCI	jet_generic_RxT2_plane_scan	registered_plane_is_unique_but_exceptional_functional_relations_exist
R09	full_D_eigenplane_selection	REFUTED_GENERIC_WHERE_df_NONZERO	bundle_preserving_extra_circle_with_nontrivial_moment	restricted_plane_scan_and_full_orbit_eigenplane_are_not_the_same_operation
R10	macro_micro_or_mass_assignment	OPEN	not_tested	no_physical_regime_assignment
R11	action_source_carrier_density_dynamics	OPEN	not_loaded	unchanged
