criterion	covered	dropped_or_open	could_host_emergence
FIELDS	complete_metric_on_registered_descended_stationary_family_with_full_base_screen	variable_alpha_direct_pair_screen_off_blocks_independent_matter	YES
ACTION_TERMS	none	complete_native_bulk_and_boundary_action	YES
FULL_EQUATIONS	none_off_shell_geometry	on_shell_branch_selection	YES
DOMAIN_COORDINATES	R_times_S3_toric_and_homogeneous_higher_isometry_strata	nonstationary_generic_spacetime_exotic_noncentral_isometries	YES
BOUNDARY_REGULARITY	smooth_complete_S3_caps_and_circle_actions	physical_finite_cell_seal_functional	YES
TOPOLOGY	primitive_toric_circle_and_cap_lattice_census	other_global_completions_and_carrier_selection	YES
DYNAMICAL_CHARACTER	stationary_only	time_live_evolution	YES
BRANCH_BIFURCATION	generic_exceptional_constant_depth_and_homogeneous_symmetry_strata	on_shell_bifurcation_diagram	YES
STABILITY	not_tested	all_stability_questions	YES
REGIME_VALIDITY	exact_bounded_stationary_higher_isometry_family	macro_micro_density_scale_observation	YES

