id	mutation	expected	observed	status
C01	production.check_count=134	VERIFY_FAIL	VERIFY_FAIL	PASS
C02	production.primary_classification=GENERIC_SELECTION_WITH_EXACT_EXCEPTIONAL_MULTIPLE_PLANE_STRATA	VERIFY_FAIL	VERIFY_FAIL	PASS
C03	production.universal_registered_plane_selection=DERIVED	VERIFY_FAIL	VERIFY_FAIL	PASS
C04	production.generic_registered_plane_selection=DERIVED_FOR_OPEN_INDEPENDENT_FIRST_JET_STRATUM_BY_RESTRICTED_PLANE_SCAN	VERIFY_FAIL	VERIFY_FAIL	PASS
C05	production.family_identity_registered_plane_robustness=GENERIC_FIXED_METRIC_THEOREM	VERIFY_FAIL	VERIFY_FAIL	PASS
C06	production.plane_scan.generic_fixed_metric_unique_constant_area_plane=span(K,V)	VERIFY_FAIL	VERIFY_FAIL	PASS
C07	production.macro_micro_assignment=DERIVED	VERIFY_FAIL	VERIFY_FAIL	PASS
C08	production.full_response.important_distinction=SAME_OPERATION	VERIFY_FAIL	VERIFY_FAIL	PASS
C09	production.full_response.plus_2chi_eigenvalue_when_chi_df_nonzero=True	VERIFY_FAIL	VERIFY_FAIL	PASS
C10	production.topology.smooth_S3_unimodular_caps_free_unoriented_circle_count=1	VERIFY_FAIL	VERIFY_FAIL	PASS
C11	production.topology.topology_selects_registered_V=True	VERIFY_FAIL	VERIFY_FAIL	PASS
C12	production.countercontrol.alpha=1	VERIFY_FAIL	VERIFY_FAIL	PASS
C13	production.countercontrol.phi_nonconstant=False	VERIFY_FAIL	VERIFY_FAIL	PASS
C14	production.countercontrol.reciprocal_planes=['span(K,V)']	VERIFY_FAIL	VERIFY_FAIL	PASS
C15	independent.status=FAIL	VERIFY_FAIL	VERIFY_FAIL	PASS
C16	independent.checks_passed=291	VERIFY_FAIL	VERIFY_FAIL	PASS
C17	independent.independent_cap_pair_count=104	VERIFY_FAIL	VERIFY_FAIL	PASS
C18	status.R07.status=DERIVED	VERIFY_FAIL	VERIFY_FAIL	PASS
C19	status.R01.scope=stationary_descended_block_screen	VERIFY_FAIL	VERIFY_FAIL	PASS
C20	status.R03.status=DERIVED_GENERIC	VERIFY_FAIL	VERIFY_FAIL	PASS
C21	status.R04.status=DERIVED_GENERIC	VERIFY_FAIL	VERIFY_FAIL	PASS
C22	status.R08.status=DERIVED_WITH_EXCEPTIONAL_LOCI	VERIFY_FAIL	VERIFY_FAIL	PASS
C23	status.R09.status=REFUTED_GENERIC_WHERE_df_NONZERO	VERIFY_FAIL	VERIFY_FAIL	PASS
C24	status.R10.status=DERIVED	VERIFY_FAIL	VERIFY_FAIL	PASS
C25	strata.S02.classification=SELECTED_BY_RESTRICTED_PLANE_SCAN_NOT_FULL_D_EIGENPLANE	VERIFY_FAIL	VERIFY_FAIL	PASS
C26	strata.S03.classification=UNIQUE	VERIFY_FAIL	VERIFY_FAIL	PASS
C27	strata.S04.classification=UNIVERSAL	VERIFY_FAIL	VERIFY_FAIL	PASS
C28	strata.S06.classification=PLANE_GROUP_SELECTED_CLOCK_OPEN_OR_MISMATCH	VERIFY_FAIL	VERIFY_FAIL	PASS
C29	strata.S07.classification=MULTIPLE_EQUIVALENT_PLANES	VERIFY_FAIL	VERIFY_FAIL	PASS
C30	strata.S08.classification=CLOSED	VERIFY_FAIL	VERIFY_FAIL	PASS
C31	outcome.F02.status=FAIL	VERIFY_FAIL	VERIFY_FAIL	PASS
C32	outcome.F04.status=PASS	VERIFY_FAIL	VERIFY_FAIL	PASS
