premise_id	object	status_for_audit	epistemic_label	role	open_scope
P01	founded_phi_identity	DERIVED_ADDITIVE_LOG_DEPTH_OF_RECIPROCAL_PAIR	DERIVED	ACTIVE_FOUNDATION	physical_observer_path_and_profile
P02	founded_phi_pair_action	DIAG_EXP_MINUS_PHI_EXP_PLUS_PHI	DERIVED	ACTIVE_FOUNDATION	unique_complete_4D_extension
P03	c_E	OBSERVED_NONZERO_CALIBRATION	OBSERVED	SYMBOLIC_CONSTANT	native_absolute_scale_closure
P04	strong_local_CSN	INACTIVE	OPEN	NOT_USED	explicit_counterfactual_only
P05	stationary_R_times_S3	CHOSE_EXISTENCE_CONTROL	CHOSE	BOUNDED_DOMAIN	physical_global_topology
P06	block_screen_metric	CHOSE_REGISTERED_FAMILY	CHOSE	BOUNDED_ANSATZ	direct_pair_screen_off_blocks
P07	Hopf_descent	CHOSE_REGISTERED_HIGHER_SYMMETRY_FAMILY	CHOSE	BOUNDED_FAMILY	metric_selection_of_this_bundle
P08	K_V	REGISTERED_COMMUTING_KILLING_PAIR	DERIVED_CONDITIONAL	REFERENCE_PAIR_NOT_ACCEPTANCE_TARGET	plane_ownership
P09	extra_Y	FREE_COMPACT_KILLING_GENERATOR	FREE	ALL_PROJECTIVE_COMBINATIONS	other_noncompact_or_noncommuting_symmetries
P10	f_A_of_Y	FREE_SMOOTH_MOMENT	FREE	FIRST_JET_CLASSIFIED	global_bundle_constraints
P11	b_horizontal_norm	FREE_POSITIVE_SMOOTH_FUNCTION	FREE	FIRST_JET_CLASSIFIED	cap_zeros_and_global_regular_completion
P12	phi_profile	FREE_SMOOTH_BASIC	FREE	CONSTANT_AND_NONCONSTANT	field_equation_selection
P13	full_screen_q_B	FREE_POSITIVE_BASIC_TWO_METRIC	FREE	BOTH_SHEARS_RETAINED	on_shell_selection
P14	alpha	FREE_SYMBOLIC_CONSTANT	FREE	ZERO_AND_NONZERO	variable_alpha
P15	toric_cap_vectors	FREE_PRIMITIVE_INTEGER_PAIRS	FREE	BOUNDED_CENSUS	physical_completion_selection
P16	homogeneous_round_controls	CHOSE_COUNTERCONTROLS	CHOSE	DEGENERACY_TESTS	physical_relevance
P17	action_equations	OPEN_NOT_LOADED	OPEN	FORBIDDEN_PROMOTION	complete_native_action
P18	carrier_source	OPEN_NOT_LOADED	OPEN	FORBIDDEN_PROMOTION	matter_emergence
P19	bootstrap_density	WORKING_NOT_LOADED	WORKING	FORBIDDEN_PROMOTION	global_local_fixed_point
P20	macro_micro_assignment	OPEN_NOT_TESTED	OPEN	INTERPRETATION_ONLY	physical_regime_map

