claim_id	object	status	scope	statement
R01	full_RxT2_orbit_Gram	DERIVED	stationary_descended_block_screen_principal_orbits_b_positive	det_G3=-b*c_E^2_and_inertia_is_Lorentzian
R02	full_Gram_response	DERIVED	principal_orbits_b_positive_with_arbitrary_formal_first_jets_chi_df_db	variable_connection_moment_mixes_registered_plane
R03	family_identity_plane_scan	DERIVED_IDENTITY_LEVEL_ONLY	polynomial_identity_under_independent_family_variation_of_u_f_b	only_span_KV_has_constant_reciprocal_area_robustly_across_the_whole_free_family
R04	family_identity_clock_response	DERIVED_IDENTITY_LEVEL_ONLY	polynomial_identity_under_independent_family_variation_with_nonzero_depth_jet	only_K_has_founded_clock_norm_response_robustly_across_the_whole_free_family
R05	S3_toric_topology	DERIVED	smooth_unimodular_two_cap_T2_completion	exactly_two_unoriented_primitive_free_circle_lines
R06	nonconstant_depth_double_plane_control	DERIVED_EXISTENCE	alpha_zero_conformally_round_spatial_toric_S3	Hopf_and_anti_Hopf_planes_both_have_exact_founded_reciprocal_Gram_form
R07	universal_plane_selection	REFUTED_BOUNDED	admitted_stationary_higher_isometry_family	exact_smooth_nonconstant_depth_R06_control_retains_two_isometry_equivalent_reciprocal_planes
R08	generic_fixed_metric_plane_selection	OPEN	fixed_cohomogeneity_one_profiles	requires_necessary_and_sufficient_profile_classification_or_valid_transversality_theorem
R09	full_D_eigenplane_selection	REFUTED_WHERE_df_NONZERO_ON_PRINCIPAL_ORBITS	bundle_preserving_extra_circle_with_nontrivial_moment_and_b_positive	restricted_plane_scan_and_full_orbit_eigenplane_are_not_the_same_operation
R10	macro_micro_or_mass_assignment	OPEN	not_tested	no_physical_regime_assignment
R11	action_source_carrier_density_dynamics	OPEN	not_loaded	unchanged
