id	v_minus	v_plus	cap_determinant	free_unoriented_line_1	free_unoriented_line_2	free_line_count
C0001	-2,-1	-1,-1	1	1,0	3,2	2
C0002	-2,-1	-1,0	-1	1,1	3,1	2
C0003	-2,-1	1,0	1	1,1	3,1	2
C0004	-2,-1	1,1	-1	1,0	3,2	2
C0005	-2,1	-1,0	1	1,-1	3,-1	2
C0006	-2,1	-1,1	-1	1,0	3,-2	2
C0007	-2,1	1,-1	1	1,0	3,-2	2
C0008	-2,1	1,0	-1	1,-1	3,-1	2
C0009	-1,-2	-1,-1	-1	0,1	2,3	2
C0010	-1,-2	0,-1	1	1,1	1,3	2
C0011	-1,-2	0,1	-1	1,1	1,3	2
C0012	-1,-2	1,1	1	0,1	2,3	2
C0013	-1,-1	-2,-1	-1	1,0	3,2	2
C0014	-1,-1	-1,-2	1	0,1	2,3	2
C0015	-1,-1	-1,0	-1	0,1	2,1	2
C0016	-1,-1	0,-1	1	1,0	1,2	2
C0017	-1,-1	0,1	-1	1,0	1,2	2
C0018	-1,-1	1,0	1	0,1	2,1	2
C0019	-1,-1	1,2	-1	0,1	2,3	2
C0020	-1,-1	2,1	1	1,0	3,2	2
C0021	-1,0	-2,-1	1	1,1	3,1	2
C0022	-1,0	-2,1	-1	1,-1	3,-1	2
C0023	-1,0	-1,-1	1	0,1	2,1	2
C0024	-1,0	-1,1	-1	0,1	2,-1	2
C0025	-1,0	0,-1	1	1,-1	1,1	2
C0026	-1,0	0,1	-1	1,-1	1,1	2
C0027	-1,0	1,-1	1	0,1	2,-1	2
C0028	-1,0	1,1	-1	0,1	2,1	2
C0029	-1,0	2,-1	1	1,-1	3,-1	2
C0030	-1,0	2,1	-1	1,1	3,1	2
C0031	-1,1	-2,1	1	1,0	3,-2	2
C0032	-1,1	-1,0	1	0,1	2,-1	2
C0033	-1,1	-1,2	-1	0,1	2,-3	2
C0034	-1,1	0,-1	1	1,-2	1,0	2
C0035	-1,1	0,1	-1	1,-2	1,0	2
C0036	-1,1	1,-2	1	0,1	2,-3	2
C0037	-1,1	1,0	-1	0,1	2,-1	2
C0038	-1,1	2,-1	-1	1,0	3,-2	2
C0039	-1,2	-1,1	1	0,1	2,-3	2
C0040	-1,2	0,-1	1	1,-3	1,-1	2
C0041	-1,2	0,1	-1	1,-3	1,-1	2
C0042	-1,2	1,-1	-1	0,1	2,-3	2
C0043	0,-1	-1,-2	-1	1,1	1,3	2
C0044	0,-1	-1,-1	-1	1,0	1,2	2
C0045	0,-1	-1,0	-1	1,-1	1,1	2
C0046	0,-1	-1,1	-1	1,-2	1,0	2
C0047	0,-1	-1,2	-1	1,-3	1,-1	2
C0048	0,-1	1,-2	1	1,-3	1,-1	2
C0049	0,-1	1,-1	1	1,-2	1,0	2
C0050	0,-1	1,0	1	1,-1	1,1	2
C0051	0,-1	1,1	1	1,0	1,2	2
C0052	0,-1	1,2	1	1,1	1,3	2
C0053	0,1	-1,-2	1	1,1	1,3	2
C0054	0,1	-1,-1	1	1,0	1,2	2
C0055	0,1	-1,0	1	1,-1	1,1	2
C0056	0,1	-1,1	1	1,-2	1,0	2
C0057	0,1	-1,2	1	1,-3	1,-1	2
C0058	0,1	1,-2	-1	1,-3	1,-1	2
C0059	0,1	1,-1	-1	1,-2	1,0	2
C0060	0,1	1,0	-1	1,-1	1,1	2
C0061	0,1	1,1	-1	1,0	1,2	2
C0062	0,1	1,2	-1	1,1	1,3	2
C0063	1,-2	-1,1	-1	0,1	2,-3	2
C0064	1,-2	0,-1	-1	1,-3	1,-1	2
C0065	1,-2	0,1	1	1,-3	1,-1	2
C0066	1,-2	1,-1	1	0,1	2,-3	2
C0067	1,-1	-2,1	-1	1,0	3,-2	2
C0068	1,-1	-1,0	-1	0,1	2,-1	2
C0069	1,-1	-1,2	1	0,1	2,-3	2
C0070	1,-1	0,-1	-1	1,-2	1,0	2
C0071	1,-1	0,1	1	1,-2	1,0	2
C0072	1,-1	1,-2	-1	0,1	2,-3	2
C0073	1,-1	1,0	1	0,1	2,-1	2
C0074	1,-1	2,-1	1	1,0	3,-2	2
C0075	1,0	-2,-1	-1	1,1	3,1	2
C0076	1,0	-2,1	1	1,-1	3,-1	2
C0077	1,0	-1,-1	-1	0,1	2,1	2
C0078	1,0	-1,1	1	0,1	2,-1	2
C0079	1,0	0,-1	-1	1,-1	1,1	2
C0080	1,0	0,1	1	1,-1	1,1	2
C0081	1,0	1,-1	-1	0,1	2,-1	2
C0082	1,0	1,1	1	0,1	2,1	2
C0083	1,0	2,-1	-1	1,-1	3,-1	2
C0084	1,0	2,1	1	1,1	3,1	2
