object_id	object	definition_or_source	question
O01	clock_line	unique_timelike_Killing_line	metric_intrinsic_on_witness
O02	ruler_line	nonzero_Killing_twist_line	metric_intrinsic_on_witness
O03	pair_projector	minus_T_Tflat_plus_S_Sflat	metric_tensor
O04	screen_projector	identity_minus_pair_projector	metric_tensor
O05	oriented_screen_area	unit_area_form_of_screen	orientation_or_metric_data
O06	signed_contact_pair	oriented_screen_coefficients_of_dTflat_and_dSflat	scalar_or_sign_local_system
O07	Q_T	half_norm_squared_of_screen_projected_dTflat	metric_scalar
O08	Q_S	half_norm_squared_of_screen_projected_dSflat	metric_scalar
O09	Q_contact	Q_S_minus_Q_T	metric_scalar_and_causal_class
O10	contact_causal_strata	Q_negative_zero_positive	realized_or_absent
O11	dphi_from_contact	one_quarter_dlog_QS_over_QT	metric_one_form
O12	dsigma_from_contact	minus_one_quarter_dlog_QS_times_QT	metric_one_form
O13	absolute_phi_sigma	integrals_of_dphi_and_dsigma	metric_scalar_or_reference_dependent
O14	contact_coordinate_z	half_log_abs_Q_over_T0_squared	metric_scalar_or_reference_dependent
O15	contact_differential	dphi_wedge_dz	metric_two_form_and_value
O16	alternating_primitive	phi_dsigma_minus_sigma_dphi_over_two	unique_or_reference_dependent
O17	split_curvature_contractions	Riemann_contracted_with_derived_projectors	metric_scalars
O18	individual_screen_axes	E2_and_E3	metric_selected_or_screen_gauge
O19	first_Cartan_screen_slots	area_shears_rotation_u_v	tensors_or_frame_coefficients
O20	Levi_Civita_connection_slots	omega_ab_components	tensor_or_connection_gauge
O21	path_transport_holonomy	parallel_transport_of_derived_reduction	local_or_path_dependent
O22	global_section_carrier	section_or_carrier_from_pair_screen_bundle	derived_or_additional_global_data

