gate_id	result	trigger
F01	PASS_CAUGHT	T_SIGN
F02	PASS_CAUGHT	S_SIGN
F03	PASS_CAUGHT	SCREEN_ORIENTATION
F04	PASS_CAUGHT	K_CONSTANT_RESCALE
F05	PASS_CAUGHT	FULL_FRAME_COVARIANCE
F06	PASS_CAUGHT	naive slot
F07	PASS_CAUGHT	QT 0
F08	PASS_CAUGHT	QS 0
F09	PASS_CAUGHT	Q 0
F10	PASS_CAUGHT	dphi 0
F11	PASS_CAUGHT	dsigma 1
F12	PASS_CAUGHT	positive minimum 1
F13	PASS_CAUGHT	constant control
F14	PASS_CAUGHT	twist control
F15	PASS_CAUGHT	slice-null control
F16	PASS_CAUGHT	O14
F17	PASS_CAUGHT	O16
F18	PASS_CAUGHT	O20
F19	PASS_CAUGHT	O21
F20	PASS_CAUGHT	GL2 scope
F21	PASS_CAUGHT	universal scope
F22	PASS_CAUGHT	physics scope
F23	PASS_CAUGHT	contact collapse
F24	PASS_CAUGHT	tensorial Q definition
