premise_id	choice_or_object	status	role	not_supplied
P01	founded_reciprocal_pair_action	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G01_G02	interpretation_guard	complete_embedding
P02	explicit_intrinsic_pair_witness	pinned-by-THEORY:9275b4fd	metric_derived_projector	physical_or_on_shell_selection
P03	primary_quadratic_u_profile	free-and-explored:frozen_prior_witness	bounded_configuration	field_equation_or_profile_selection
P04	lambda_minus1_0_plus1	free-and-explored:frozen_prior_witness	three_transverse_controls	all_real_lambda_or_selection
P05	cE_R_a_equal_one	pinned-by-HABIT:existence_unit_normalization	frozen_witness_units	physical_values_or_scale_change
P06	kappa_minus_two	pinned-by-THEORY:unit_quaternion_Maurer_Cartan_convention	exact_structure_equation	topology_selection
P07	stationarity	CHOSE_EXISTENCE_CONTROL	Killing_reduction	time_live_dynamics
P08	S3_completion	CHOSE_EXISTENCE_CONTROL	global_smooth_cell	unique_global_topology
P09	analyticity	pinned-by-THEORY:frozen_profile	global_Killing_certificate	nonanalytic_neighborhood
P10	T_and_S_local_unit_representatives	free_sign_choices	construct_sign_safe_tensors	ordered_time_or_ruler_orientation
P11	spacetime_and_screen_orientation	free_and_reversed	orientation_catch_controls	physical_orientation
P12	T0_D0_and_additive_references	free_positive_or_additive_references	separate_absolute_logs_from_differentials	selected_reference
P13	full_GL2_screen	DROPPED:not_present_in_explicit_witness	scope_guard	generic_shear_response
P14	path_and_global_section	OPEN	distinguish_local_descent	transport_or_carrier
P15	action_source_boundary_density_bootstrap_Xmax_carrier_matter_mass	OPEN_OR_CONDITIONAL:EXCLUDED	no_role	downstream_physics

