gate_id	mutation_or_failure	must_fail_or_narrow
F01	change_sign_of_T_changes_Q_T_Q_S_or_Q	metric_scalar_claim
F02	change_sign_of_S_changes_Q_T_Q_S_or_Q	metric_scalar_claim
F03	reverse_screen_orientation_changes_Q_T_Q_S_or_Q	metric_scalar_claim
F04	rescale_unnormalized_K_changes_projectors_or_Q_values	metric_naturality_claim
F05	passive_frame_change_changes_tensor_contractions_after_projector_reconstruction	complete_frame_descent_claim
F06	relabel_transformed_slots_without_reconstructing_projector_is_accepted	frame_route_guard
F07	Q_T_formula_mismatch	exact_descent_certificate
F08	Q_S_formula_mismatch	exact_descent_certificate
F09	Q_formula_mismatch	exact_descent_certificate
F10	dphi_reconstruction_mismatch	depth_descent_claim
F11	dsigma_reconstruction_mismatch	screen_area_descent_claim
F12	null_or_negative_Q_point_exists_for_any_registered_lambda_and_u_range	positive_stratum_only_claim
F13	constant_depth_control_is_given_intrinsic_pair_projector	control_scope
F14	twist_free_control_is_given_ruler_or_pair_projector	control_scope
F15	slice_null_control_is_crossed_or_promoted	control_scope
F16	absolute_contact_log_is_reference_independent	classification_guard
F17	primitive_is_called_unique_or_selected	classification_guard
F18	individual_screen_axes_or_connection_slots_are_called_metric_scalars	frame_gauge_guard
F19	path_holonomy_or_global_section_is_inferred_from_local_projector	local_global_guard
F20	full_GL2_screen_generality_is_claimed	bounded_family_guard
F21	witness_is_called_on_shell_selected_or_universal	authority_guard
F22	action_source_carrier_density_bootstrap_mass_or_matter_is_inferred	physics_scope_guard
F23	zero_contact_two_form_is described_as_nontrivial_production	honesty_guard
F24	INHERITED_q_squared_stamp_is_promoted_without_tensorial_definition	authority_guard

