object	status	exact_scope	open_scope
intrinsic_clock_line	DERIVED_METRIC_INTRINSIC_ON_WITNESS	unique_full_Killing_line	other_branches
intrinsic_ruler_line	DERIVED_METRIC_INTRINSIC_ON_WITNESS	nonzero_Killing_twist_line	twist_free_and_other_branches
pair_and_screen_projectors	DERIVED_METRIC_TENSORS_ON_WITNESS	smooth_sign_independent_complete_cell	on_shell_or_universal_selection
signed_contact_pair	DERIVED_SIGN_LOCAL_SYSTEM_ON_WITNESS	oriented_screen_coefficients_of_dTflat_dSflat	canonical_ordered_signs
Q_T	DERIVED_METRIC_SCALAR_ON_WITNESS	half_norm_squared_projected_dTflat	other_branches
Q_S	DERIVED_METRIC_SCALAR_ON_WITNESS	half_norm_squared_projected_dSflat	other_branches
Q_contact	DERIVED_METRIC_SCALAR_ON_WITNESS	Q_S_minus_Q_T	universal_observable_status
contact_causal_stratum	DERIVED_STRICTLY_POSITIVE_ON_WITNESS	exact_all_three_lambda_and_4_le_u_le_11	null_and_negative_other_branches
dphi_reconstruction	DERIVED_METRIC_ONE_FORM_ON_WITNESS	one_quarter_dlog_QS_over_QT	other_branches
dsigma_reconstruction	DERIVED_METRIC_ONE_FORM_ON_WITNESS	minus_one_quarter_dlog_QS_QT	absolute_area_reference
absolute_Phi_contact	DERIVED_METRIC_SCALAR_ON_FROZEN_UNIT_WITNESS	one_quarter_log_QS_over_QT_equals_phi	general_unfrozen_shift_one_half_log_R_over_a
absolute_sigma	REFERENCE_DEPENDENT_ABSOLUTE__DSIGMA_INTRINSIC	QS_QT_is_dimensionful	selected_area_reference_D0
contact_log	REFERENCE_DEPENDENT_ABSOLUTE__DERIVED_DIFFERENTIAL	T0_shift_only	selected_dimensional_reference
alternating_contact_two_form	DERIVED_IDENTICALLY_ZERO_ON_WITNESS	dphi_wedge_dz_equals_zero	independent_depth_area_profiles
alternating_primitive	AVAILABLE_REFERENCE_DEPENDENT_NOT_SELECTED	zero_exterior_derivative_on_witness	law_or_global_primitive_selection
split_curvature_contractions	DERIVED_METRIC_SCALARS_AS_CLASS_ON_WITNESS	contractions_with_intrinsic_projectors	preferred_contraction_and_other_branches
screen_axes_and_first_Cartan_slots	NOT_METRIC_SCALARS	O2_frame_and_connection_gauge	tensorial_combinations
path_holonomy	PATH_DEPENDENT_NOT_FIXED	local_metric_connection_only	path_family_and_global_transport
carrier_or_global_section	OPEN_NOT_DERIVED	pair_screen_bundle_only	carrier_emergence
full_GL2_neighborhood	OPEN_NOT_TESTED	frozen_isotropic_screen_witness	independent_screen_area_and_shears
on_shell_and_universal_selection	OPEN	off_shell_branch_existence_only	native_equation_or_admissibility
action_source_boundary_density_bootstrap_Xmax_matter_mass	OPEN_OR_CONDITIONAL	not_used	complete_physics
overall	VERIFIED_EXACT_WITNESS_LOCAL_INTRINSIC_CONTACT_DESCENT	22_parent_objects_two_O13_subclassifications_three_lambda_metrics	general_screen_on_shell_and_universal_selection
