axis	covered	not_covered
metric_scope	supplied_regular_nonblock_reciprocal_angular_screen	no_universal_screen_selection_or_critical_phi_strata
reciprocal_c	exact_pair_character_L_and_reference_source	complete_angular_source_equation
observer_frames	ordinary_regime_passive_covariance	micro_extreme_extension_and_observer_mechanics
Xmax	strongest_registered_conditional_open_interval_group	derived_group_uniqueness_value_and_position_field_join
source_space	central_noncentral_constant_endpoint_flat_controls	all_complete_on_shell_universes
global_boundary	open_endpoint_status_and_conditional_two_seal_control	native_boundary_functional_or_selected_completion
transport	exact_constant_lambda_Riccati_control	general_variable_tensor_source_solution
scale	explicit_c_and_registered_G_status	Xmax_total_mass_density_bootstrap_closure
dynamics	none	action_source_carrier_and_matter_emergence
compute	exact_symbolic_CPU_and_independent_fraction_arithmetic	GPU_or_time_live_solve
