join_id	join	status	load_bearing_reason
J01	reciprocal_c_pair_to_L	DERIVED_IN_ABSTRACT_PAIR	fixes_reference_generator
J02	L_to_K_rec	DERIVED_REFERENCE	K_rec_equals_minus_I
J03	K_rec_to_complete_angular_K_eff	OPEN	this_is_Delta_K_source_equality
J04	observer_descriptions_to_Delta_K_covariance	DERIVED_WHERE_FRAME_ACTION_SUPPLIED	makes_zero_or_nonzero_frame_invariant
J05	observer_covariance_to_Delta_K_zero	NOT_DERIVED	central_mu_I_survives
J06	global_Xmax_to_fractional_group	CHOSE_CONDITIONAL	not_unique_from_bound_alone
J07	fractional_group_to_metric_phi	OPEN	position_field_join_not_certified
J08	observer_relative_phi_to_absolute_static_phi	OPEN	premise_reset_withdrew_physical_identification
J09	Xmax_open_endpoints_to_regular_seals	NOT_DERIVED	opposite_endpoints_not_composable
J10	finite_cell_to_two_mirror_seals	OPEN	multiple_boundary_realizations_and_seal_conflict
J11	CSN_to_relative_lambda	NOT_DERIVED	common_scale_does_not_fix_sector_ratio
J12	c_and_G_to_lambda	NOT_DERIVED	dimensional_anchors_do_not_fix_dimensionless_ratio
J13	bootstrap_to_lambda	NOT_EXECUTABLE	no_registered_response_map_or_stationarity_equation
J14	added_central_homogeneous_source_to_lambda	CONDITIONAL_CONTROL	reduces_tensor_seam_to_one_scalar
J15	two_area_seals_to_s_squared_equals_lambda_squared	DERIVED_CONDITIONAL	does_not_fix_lambda_equals_one
