premise_id	object	status	role	not_allowed
P01	complete_metric	DERIVED_DATA_PER_REPRESENTATIVE	supplies_metric_connection_and_K_eff	field_equation
P02	reciprocal_c_pair	PINNED_BY_THEORY	c_E_and_inverse_c_E_as_coequal_conversion_directions	angular_source_equation
P03	reciprocal_character	DERIVED_IN_ABSTRACT_PAIR	L_equals_diag_minus1_plus1_and_K_rec_equals_minus_I	complete_metric_join
P04	observer_frame_reciprocity	OWNER_LOCKED_ORDINARY_REGIME	no_preferred_observer_and_tensor_covariance	identical_components_or_EFE
P05	observer_extreme_micro_extension	OPEN_NOT_ASSUMED	scope_guard	silent_universal_extension
P06	global_Xmax	WORKING_POSIT	one_limit_shared_by_completed_universe	derived_value_or_local_Xmax
P07	Xmax_fractional_group	CHOSE_CONDITIONAL	xi_composition_phi_addition_and_reversal	unique_bounded_group
P08	Xmax_position_field_join	OPEN_NOT_CERTIFIED	needed_to_act_on_physical_metric_phi	silent_identification
P09	absolute_relative_phi_join	OPEN_NOT_CERTIFIED	distinguishes_static_field_from_observer_depth	silent_identification
P10	Xmax_endpoints	DERIVED_LIMITS_IN_CONDITIONAL_GROUP	open_interval_boundaries	not_regular_seals
P11	finite_cell	PINNED_BY_CANON	global_domain_structure	unique_boundary_polarization
P12	seal_realization	MULTIPLE_REGISTERED_PLUS_CONFLICTED	external_moving_locked_or_mirrored_options	unique_two_seal_completion
P13	CSN	PINNED_BY_THEORY	common_scale_neutrality	selected_representative_or_lambda
P14	c_anchor	OBSERVED_FOUNDING_RETAINED	explicit_clock_ruler_scale	set_c_to_one
P15	G_anchor	OBSERVED_ANCHOR_RETAINED	dimensional_gravitational_scale	dimensionless_angular_normalization
P16	angular_screen_split	CONDITIONAL_WHERE_SUPPLIED	defines_K_eff_angular	universal_selected_screen
P17	angular_source	FREE_AND_EXPLORED	test_Delta_K_space	set_equal_to_K_rec
P18	central_homogeneous_reduction	ADDED_STRONGEST_CONTROL	reduces_K_eff_to_minus_lambda_squared_I	native_isotropy_or_homogeneity
P19	lambda	FREE_AND_EXPLORED	dimensionless_relative_source_normalization	set_to_one
P20	two_regular_mirror_seals	ADDED_STRONGEST_CONTROL	test_best_case_global_consequence	native_boundary_completion
P21	action_source_carrier_density	OPEN_NOT_USED	scope_guard	imported_closure
P22	bootstrap	WORKING_ONSHELL_ADMISSIBILITY	test_current_executable_content	response_map_or_selector
P23	Delta_K_zero	DIAGNOSTIC_ONLY	missing_source_equality	inserted_equation
P24	target_area_shape	DIAGNOSTIC_ONLY	A_rel_zero_and_S_shape_one	inserted_boundary_or_filter
