claim_id	claim	status	scope
Q01	reciprocal_c_pair_and_L	DERIVED_IN_ABSTRACT_PAIR	founding_clock_ruler_pair
Q02	K_rec_equals_minus_I	DERIVED_REFERENCE_SOURCE	same_abstract_reciprocal_pair
Q03	observer_frame_reciprocity	OWNER_LOCKED_ORDINARY_REGIME	passive_covariance_no_preferred_observer
Q04	Delta_K_zero_is_frame_invariant	DERIVED	supplied_screen_and_frame_action
Q05	observer_covariance_forces_Delta_K_zero	NOT_DERIVED	central_counterfamily_survives
Q06	one_global_Xmax	WORKING_POSIT	completed_universe
Q07	fractional_Xmax_composition	CHOSE_CONDITIONAL	signed_open_interval
Q08	Xmax_join_to_absolute_metric_phi	OPEN	physical_position_field_join
Q09	Xmax_endpoints_are_regular_seals	NOT_DERIVED	endpoints_are_noncomposable_limits
Q10	three_reciprocities_force_Delta_K_zero	NOT_DERIVED	current_registered_premises
Q11	strongest_composition_reduces_to_lambda	CONDITIONAL	added_centrality_homogeneity_sign_and_screen
Q12	two_seals_force_s_squared_lambda_squared	DERIVED_CONDITIONAL	constant_lambda_nonsingular_Riccati_control
Q13	lambda_equals_one	OPEN	dimensionless_reciprocal_angular_normalization
Q14	complete_native_action_source_boundary	OPEN	not_addressed_by_symmetry_audit
