route_id	route	required_test	ruling	reason
R01	RECIPROCAL_C_REFERENCE_SOURCE	derive_L_and_K_rec_without_promoting_to_angular_equation	SUPPLIES_REFERENCE_ONLY	L_and_K_rec_are_exact_but_no_angular_source_equation_follows
R02	OBSERVER_COVARIANCE_OF_DELTA_K	derive_conjugation_law_and distinguish_invariance_from_necessity	MAKES_COVARIANT_NOT_NECESSARY	Delta_K_transforms_by_conjugation;zero_is_invariant_not_forced
R03	OBSERVER_NATURALITY_COMMUTANT	classify_surviving_central_and_noncentral_source_families	CONSTRAINS_NOT_CLOSES	central_mu_I_survives_every_conjugation;anisotropy_survives_without_isotropy
R04	XMAX_GROUP_AND_REVERSAL	verify_additive_phi_fractional_composition_and_parity	CONSTRAINS_NOT_CLOSES	conditional_group_supplies_addition_reversal_and_character_not_source_normalization
R05	XMAX_ENDPOINT_STATUS	verify_open_limits_noncomposition_and_regular_seal distinction	OBSTRUCTED_OR_UNDEFINED	plus_minus_endpoints_are_open_limits_and_opposite_composition_is_undefined
R06	POSITION_FIELD_JOIN	audit whether_Xmax_action_reaches_absolute_metric_phi	NOT_JOINED_TO_COMPLETE_METRIC	physical_position_observer_depth_and_absolute_metric_phi_are_not_derived_as_one_object
R07	THREE_WAY_CURRENT_COMPOSITION	test_full_current_premises_without_added joins	CONSTRAINS_NOT_CLOSES	central_and_endpoint_flat_Delta_K_counterfamilies_survive
R08	STRONGEST_CENTRAL_HOMOGENEOUS_COMPOSITION	reduce_K_eff_to_minus_lambda_squared_I_as_conditional control	REDUCES_TO_SCALAR_SEAM_CONDITIONALLY	added_centrality_homogeneity_and_sign_reduce_source_to_lambda_not_to_one
R09	CONSTANT_LAMBDA_RICCATI_FLOW	derive_exact_matrix_solution_area_shape_and_regular denominators	REDUCES_TO_SCALAR_SEAM_CONDITIONALLY	exact_flow_exposes_lambda_as_dimensionless_relative_normalization
R10	TWO_SEAL_CONSEQUENCE	test_what_second_A_rel_zero_condition actually fixes	CONSTRAINS_NOT_CLOSES	two_area_seals_force_s_squared_equals_lambda_squared_not_lambda_squared_equals_one
R11	ANISOTROPIC_COMPLETE_METRIC_COUNTERFAMILY	retain_noncentral_Delta_K_without angular isotropy	CONSTRAINS_NOT_CLOSES	no_registered_angular_isotropy_removes_noncentral_source_freedom
R12	CSN_C_G_SCALE_TEST	test whether anchors fix relative dimensionless lambda	CONSTRAINS_NOT_CLOSES	CSN_and_dimensional_c_G_anchors_do_not_fix_dimensionless_lambda
R13	FINITE_CELL_BOOTSTRAP_TEST	audit executable selector or boundary functional	NOT_JOINED_TO_COMPLETE_METRIC	finite_cell_and_bootstrap_lack_executable_source_or_boundary_selector
R14	PRIOR_CONDITIONAL_THEOREM_HANDOFF	regrade_Delta_K_zero_and_two_seal premises after composition	CONSTRAINS_NOT_CLOSES	both_Delta_K_zero_and_two_regular_seals_remain_added_premises
