catch_id	mutation	expected	result
T01	covariance_promoted_to_necessity	REJECT	PASS_REJECTED
T02	central_survivor_deleted	REJECT	PASS_REJECTED
T03	c_anchor_dropped	REJECT	PASS_REJECTED
T04	reversal_demotes_reference_source	REJECT	PASS_REJECTED
T05	endpoint_flat_bulk_countermodel_deleted	REJECT	PASS_REJECTED
T06	Xmax_law_promoted_to_unique	REJECT	PASS_REJECTED
T07	position_field_join_silently_inserted	REJECT	PASS_REJECTED
T08	opposite_endpoints_promoted_to_group_pair	REJECT	PASS_REJECTED
T09	endpoints_promoted_to_regular_seals	REJECT	PASS_REJECTED
T10	lambda_set_to_one	REJECT	PASS_REJECTED
T11	lambda_two_witness_missing	REJECT	PASS_REJECTED
T12	lambda_three_witness_missing	REJECT	PASS_REJECTED
T13	conditional_premises_hidden	REJECT	PASS_REJECTED
T14	route_missing_or_duplicate	REJECT	PASS_REJECTED
T15	native_derivation_false_positive	REJECT	PASS_REJECTED
T16	two_seal_premise_promoted_native	REJECT	PASS_REJECTED
T17	source_sign_hidden	REJECT	PASS_REJECTED
T18	maximum_conclusion_overstated	REJECT	PASS_REJECTED
