premise_id	object	status	use	not_supplied
P01	founded_phi_reciprocal_coframe_relation	pinned_by_THEORY	metric_weights	profile_or_dynamics
P02	observer_frame_reciprocity	OWNER_FOUNDING_MACRO	covariant_relational_requirement	isometry_of_each configuration
P03	copresence	WORKING_INTERPRETIVE_FRAME	interpretive_stamp	operational signalling
P04	metric_causal_structure	DERIVED_CONDITIONAL	causal_readout	complete observer law
P05	instantaneous_operational_access	NOT_DERIVED	excluded	physical transmission
P06	complete_whole_solution_law	OPEN	excluded	branch selection
P07	stationary_twisted_RxS3_family	CONDITIONAL_COMPLETE_CONFIGURATION	bounded arena	on_shell_or_selected solution
P08	general_Killing_vector	free_and_explored_unrestricted	full symmetry classification	stationary_or_split preserving ansatz
P09	phi_profile	free_and_explored_smooth	isometry strata	preferred function or field equation
P10	a_and_lambda	free_and_explored	twist_and_shape strata	physical values
P11	c_E	OBSERVED_ANCHOR	clock_length calibration	profile_or_Xmax
P12	R	free_and_explored_positive	configuration scale	bootstrap selection
P13	kappa	pinned_by_global_coframe_normalization_nonzero	Maurer_Cartan structure	physical observable
P14	global_S3_completion	conditional_witness_input	complete compact control	unique UDT topology
P15	curvature_invariant_rank_test	metric_intrinsic_certificate_candidate	annihilate transverse Killings	physical selection
P16	analytic_or_unique_continuation	must_be_proved_if_used	extend_open_set result	assumed global theorem
P17	action_variation_EOM_source_carrier_boundary_density_bootstrap_mass_Xmax_dynamics_signalling	OPEN_OR_CONDITIONAL	excluded	downstream physics
