claim_id	status	claim	premise_or_limit
S01	DERIVED_CONDITIONAL	one_complete_twisted_RxS3_configuration_has_full_Killing_algebra_span_partial_t	registered_stationary_configuration_family_and_explicit_free profile
S02	DERIVED_CONDITIONAL	the_same_configuration_has_nonconstant_metric_native_delta_K	unique_stationary_line_and_founded_norm readout
S03	DERIVED_CONDITIONAL	the_same_configuration_has_nonzero_twist_selected_unoriented_ruler_line	a_kappa_nonzero_no orientation selected
S04	DERIVED_EXACT	constant_phi_homogeneous_stratum_has_nonunique_Killing_lines	configuration stratum only
S05	DERIVED_EXACT	continuous_full_data_stabilizer_implies_nonunique_Killing_lines	stabilizer must preserve complete coframe data
S06	DERIVED_EXACT	a_zero_control_can_have_unique_K_line_but_no_twist_ruler	same explicit phi lambda_2_3
S07	OBSERVED_EXACT	lambda_zero_and_lambda_one_controls_retain_rank_three	fixed explicit profile not all profiles
S08	OPEN	fixed_profile_exceptional_lambda_roots_and_all_smooth_phi_Killing_classification	zero_of_rank_certificate_does_not_imply_extra symmetry
S09	OPEN	physical_selection_of_profile_stationary_branch_a_lambda_R_or_topology	configuration existence is not selection
S10	OPEN_OR_CONDITIONAL	action_EOM_source_carrier_boundary_density_bootstrap_mass_Xmax_dynamics_signalling	excluded
S11	WORKING	copresence	interpretive frame only
S12	NOT_DERIVED	instantaneous_operational_access	no signalling conclusion
S13	OPEN	complete_whole_solution_law	current selector seam
