catch_id	corruption_or_overclaim	required_rejection
F01	restrict_general_Killing_field_to_time_independent_components	FAIL_G01
F02	check_only_inherited_SU2_U1_group_actions	FAIL_G02
F03	visual_or_random_profile_asymmetry_called_uniqueness	FAIL_G02_OR_G03
F04	coordinate_coefficient_used_as_intrinsic_certificate	FAIL_G03
F05	curvature_rank_at_one_isolated_point_called_open_set proof	FAIL_G04
F06	local_jet_called_complete_global_witness_without_extension	FAIL_G05_OR_G06
F07	strict_slice_inequality_not_checked_globally	FAIL_G07
F08	one_lambda_sample_generalized_to_all_lambda	FAIL_G11
F09	constant_phi_degeneracy_omitted	FAIL_G11
F10	continuous_phi_stabilizer_omitted	FAIL_G11
F11	a_zero_called_nonzero_twist_ruler	FAIL_G10
F12	independent_spatial_Killing_not_counted_as_extra_timelike_lines	FAIL_G08
F13	twist_line_called_oriented_ruler_without_extra_choice	FAIL_G13
F14	W01_uniqueness_spliced_from_W02_static_control	FAIL_G12
F15	stationary_configuration_called_on_shell_selected_or_universal	FAIL_G14
F16	action_source_carrier_boundary_density_bootstrap_mass_Xmax_or_signalling_inferred	SCOPE_FAILURE
F17	analytic_continuation_invoked_without_hypotheses	FAIL_G05
F18	causal_slice_boundary_crossed_silently	FAIL_G07
F19	K_found_called_full_Killing_algebra_solved	FAIL_G02_OR_G08
F20	startup_controls_or_fixed_historical_records_edited	REPOSITORY_SCOPE_FAILURE
