stratum_id	classification	exact_basis	remaining_scope
K01	EXISTS_COMPLETE_FULL_KILLING_ALGEBRA_ONE_DIMENSIONAL	lambda_2_3_a_1_10_global_polynomial_phi_rank3	family_does_not_select_witness
K02	NONUNIQUE_EXACT	constant_phi_left_action_dim_at_least_3_plus_K	precise_enhancement_dimension_parameter_dependent
K03	NONUNIQUE_WHEN_FULL_DATA_HAS_CONTINUOUS_LEFT_STABILIZER	stabilizer_generator_is_spatial_Killing	profiles_without_such_stabilizer_handled_by_intrinsic_rank_not_name
K04	UNIQUE_LINE_CONTROL_WITHOUT_RULER	a_0_lambda_2_3_same_phi_rank3_twist_zero	no_pair_certification
K05	NONUNIQUE_EXACT	constant_phi_a_0_homogeneous_left_action	full_round_Berger_dimension_not_needed
K06	EXISTS_UNIQUE_LINE_AT_LAMBDA_ZERO	lambda_0_a_1_10_same_phi_exact_rank3	all_profiles_not_classified
K07	EXISTS_UNIQUE_LINE_AT_LAMBDA_ONE	lambda_1_a_1_10_same_phi_exact_rank3	all_profiles_not_classified
K08	OPEN_AT_EXACT_EXCEPTIONAL_POLYNOMIAL_ROOTS	fixed_profile_rank_determinant_is_nonzero_degree9_polynomial_in_lambda	zero_roots_make_this_certificate_inconclusive_not_nonunique
K09	EXCLUDED_FROM_REGULAR_WITNESS	strict_slice_equality_or_failure	causal_boundary_may_need_separate atlas
K10	DERIVED_INTRINSIC_OPEN_SET_CERTIFICATE	exact_three_scalar_gradient_rank_at_north_pole	local_rank_alone_not_global_configuration
K11	DERIVED_COMPLETE_SAME_BRANCH_WITNESS	global_embedding_polynomial_plus_rank3_plus_Killing_propagation	physical_selection_open
K12	OPEN_OTHER_COMPLETIONS	current_witness_is_global_RxS3_no_cap_or_quotient	other_boundary_quotient_monodromy_classes_not classified
