catch_id	result	corruption_or_overclaim
F01	PASS	restrict_general_Killing_field_to_time_independent_components
F02	PASS	check_only_inherited_SU2_U1_group_actions
F03	PASS	visual_or_random_profile_asymmetry_called_uniqueness
F04	PASS	coordinate_coefficient_used_as_intrinsic_certificate
F05	PASS	curvature_rank_at_one_isolated_point_called_open_set proof
F06	PASS	local_jet_called_complete_global_witness_without_extension
F07	PASS	strict_slice_inequality_not_checked_globally
F08	PASS	one_lambda_sample_generalized_to_all_lambda
F09	PASS	constant_phi_degeneracy_omitted
F10	PASS	continuous_phi_stabilizer_omitted
F11	PASS	a_zero_called_nonzero_twist_ruler
F12	PASS	independent_spatial_Killing_not_counted_as_extra_timelike_lines
F13	PASS	twist_line_called_oriented_ruler_without_extra_choice
F14	PASS	W01_uniqueness_spliced_from_W02_static_control
F15	PASS	stationary_configuration_called_on_shell_selected_or_universal
F16	PASS	action_source_carrier_boundary_density_bootstrap_mass_Xmax_or_signalling_inferred
F17	PASS	analytic_continuation_invoked_without_hypotheses
F18	PASS	causal_slice_boundary_crossed_silently
F19	PASS	K_found_called_full_Killing_algebra_solved
F20	PASS	startup_controls_or_fixed_historical_records_edited
