stratum_id	phi_class	twist_class	angular_shape	causal_global_class	required_question
K01	generic_nonconstant_no_assumed_continuous_stabilizer	a_kappa_nonzero	lambda_generic	complete_strict_slice	full_Killing_algebra_and_unique_line_existence
K02	constant	a_kappa_nonzero	lambda_generic	complete_strict_slice	enhanced_homogeneous_isometries_and_nonuniqueness
K03	nonconstant_with_U1_or_larger_stabilizer	a_kappa_nonzero	lambda_generic	complete_strict_slice	continuous_spatial_isometry_and_nonuniqueness
K04	generic_nonconstant_no_assumed_continuous_stabilizer	a_zero	lambda_generic	complete_strict_slice	unique_line_possible_but_twist_ruler_absent
K05	constant_or_symmetric	a_zero	round_or_Berger_enhanced	complete_strict_slice	maximal_or_enhanced_isometry_control
K06	generic_nonconstant	any	lambda_zero	complete_strict_slice	lambda_degeneracy_and_hidden_symmetry_test
K07	generic_nonconstant	any	lambda_one	complete_strict_slice	reciprocal_shape_degeneracy_and_hidden_symmetry_test
K08	generic_nonconstant	any	lambda_other_special_value	complete_strict_slice	all_algebraically_detected_special_values
K09	any	any	any	slice_equality_or_failure	causal_degeneracy_excluded_from_regular_witness
K10	local_generic_jet	any	any	local_open_set_only	curvature_invariant_rank_certificate_scope
K11	global_smooth_extension_of_local_generic_jet	a_kappa_nonzero	lambda_registered	complete_strict_slice	global_descent_extension_and_same_branch_witness
K12	boundary_cap_quotient_or_monodromy_sensitive	any	any	global_completion_variant	Killing_extension_and_descent
