family	load_bearing_source	current_scope	correction_or_retained_result	trigger_for_further_work
Primary reciprocal and round metric	G166/G167; founding F1-F4	Bounded primary static-spherical relation; profile/query supplied	Keep inverse clock/ruler and fixed areal round sector; no independent B/Q/mixing histories	Any proposed native extension must derive its compatibility with this branch
Completed pair evaluator	G176/G179	Supplied regular full metric and germ; working completion	All sectors enter before readout; evaluation does not admit arbitrary metric histories	New admission relation restricts inputs; theorem need not be rederived unless its premises change
Full record reconstruction	G213; G215	Known compatible marked germs and rank-complete network	Retain densities and full tuple; scalar equality is not full-relation equality	If a successor discards records or changes markings, recheck its reconstruction claim
Projective position	founding W5; G274	Provisional projective relation; nonradial carry supplied	Do not replace full carry with one distance or clock number	Operational distance or carry law requires its own source-supported relation
Leading angular class	LSR1 REVIEWED_RESULT	Reviewed UNPROMOTED supplied static analytic-even class	Five leading components are diagnostic geometric freedoms; not physical modes or freedoms within primary round branch	A native restriction may exclude some realizations; review physical applications on surviving domain
Native angular audit	NAP1 REVIEWED_RESULT	Reviewed UNPROMOTED source-relative and conditional response chain	Retain full-density information and conditional center A=0; no native admission/exclusion	Closing or changing response membership requires reviewing the center restriction and its descendants
Conditional Einstein arena and developments	Current G312 AUTHORITY_RECORD; consolidated account	Entire declared response/metric hypotheses; legitimate data remain conditional	Already qualified by GR FILTER ONLY; no automatic native re-admission or mathematical regrading	Each proposed native use must establish membership and any additional relation; do not assume every later theorem shares this dependency
Conditional geometric and signal readouts	Consolidated account sections 2/7/8/9	Supplied geometry, query, signal/readout assumptions at source scope	Geometry/readout mathematics retained; no new universal UDT observational prediction	If geometry becomes excluded, redo its physical prediction on an admitted geometry; measurement assumptions stay separate
Volume-response proposal	FE1 CANDIDATE and final review	Reviewed UNADOPTED hypothesis draft	E_vol=Ric mathematics survives; physical identification/completeness unsupported	Any adoption proposal must justify compatibility with full positional reciprocity; current correction does not supply it
Roadmap and explanatory descendants	Maintained roadmap/PLAN/consolidated account	Direction and synthesis; no independent premises	Correct ambiguous freedom language and put joint-relation/admission check before native claims	Specific newly established constraint triggers targeted descendant review, not blanket invalidation
Scientific registry and fixed manuscript	CURRENT_SCIENTIFIC_PREMISES.tsv; fixed through-G352 edition	Exact grades and historical snapshot	Unchanged; preserve sources/reviews/failures and current G312 authority overlay	Any scientific promotion or manuscript revision requires its own authorized exact-scope process
